CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Homer,,,AK,US,2020-11-01,,,,,,,general protesters,for President Trump,2,caravan,0,0,0,0,1,1,,,,https://mustreadalaska.com/homer-is-picture-perfect-trump-rally-was-several-miles-long-on-the-spit/,,,,,,,,,,,,,,,,,,
Houston,I-610,,TX,US,2020-11-01,"more than 1,300",1300,,1300,,,general protesters,for President Trump,2,caravan,0,0,0,0,1,1,,,,https://www.chron.com/news/election2020/article/Trump-Train-610-Loop-Houston-flags-trucks-15693790.php,https://www.chron.com/news/election2020/article/Trump-Train-610-Loop-Houston-flags-trucks-15693790.php,,,,,,,,,,,,,,,,,
Huntsville,Big Spring Park,,AL,US,2020-11-01,,,,,,,general protesters,"for President Trump, for patriotism",2,rally,0,0,0,0,1,1,20201101-huntsville-trump,,,https://www.waaytv.com/content/news/572945171.html,https://www.al.com/news/huntsville/2020/11/4-protesters-arrested-at-huntsville-pro-trump-rally.html,https://whnt.com/news/4-protesters-arrested-during-pro-trump-rally-in-huntsville/,,,,,,,,,,,,,,,,
Huntsville,Big Spring Park,,AL,US,2020-11-01,,,,,,,Underground Protest,against President Trump,1,counter-protest,4,0,0,0,1,1,20201101-huntsville-trump,attempted to disrupt rally with amplified sound,,https://www.waaytv.com/content/news/572945171.html,https://www.al.com/news/huntsville/2020/11/4-protesters-arrested-at-huntsville-pro-trump-rally.html,https://whnt.com/news/4-protesters-arrested-during-pro-trump-rally-in-huntsville/,,,,,,,,,,,,,,,,
Indianapolis,I-465,,IN,US,2020-11-01,,,,,,,general protesters,for President Trump,2,caravan,0,0,0,0,1,1,,,,https://www.indystar.com/story/news/local/2020/11/01/pro-trump-caravan-rally-circles-465-indianapolis-and-impacts-traffic/6117219002/,,,,,,,,,,,,,,,,,,
Ithaca,Ithaca Commons; Ithaca Police Department,,NY,US,2020-11-01,about 40,40,,40,,,general protesters,"against racism, against police violence, for abolishing police, for abolishing prisons",1,march; rally,0,0,0,0,1,1,,Truth and Justice Rally,,https://ithacavoice.com/2020/11/weekly-protest-resumes-calls-for-police-defunding-ipd-resignations/,,,,,,,,,,,,,,,,,,
Ithaca,Ithaca Commons,,NY,US,2020-11-01,,,,,,,Armenian Student Organization,against Azerbaijani aggression in Nagorny Karabakh,0,demonstration,0,0,0,0,0,1,,,,https://ithacavoice.com/2020/11/weekly-protest-resumes-calls-for-police-defunding-ipd-resignations/,,,,,,,,,,,,,,,,,,
Jackson,,,MS,US,2020-11-01,,,,,,,Mississippi Move,"for voting rights, for empowering Black voters",1,rally,0,0,0,0,1,1,,"My Freedom, My Vote",,https://www.wlbt.com/2020/11/02/local-organization-holds-rally-energize-motivate-voters-ahead-election-day/,,,,,,,,,,,,,,,,,,
Joplin,S Range Line Rd and 7th St,,MO,US,2020-11-01,,,,,,,Life Chain,against abortion rights,2,demonstration,0,0,0,0,1,1,,National Life Chain,,https://www.fourstateshomepage.com/news/life-chain-organizing-protests/,,,,,,,,,,,,,,,,,,
Kissimmee,,,FL,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,car rally,,,,,1,1,,Feat. Jill Biden,,https://www.wftv.com/news/local/osceola-county/jill-biden-host-drive-in-rally-kissimmee-sunday/CSWQFLEXM5GGNNG6ACJ5NCNUW4/,,,,,,,,,,,,,,,,,,
