CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Olympia,Planned Parenthood,WA,US,2018-01-26,about 3,3,,3,,,Patriot Prayer,"Protesting abortion, planned parenthood",2,,protest,0,0,0,0,1,1,http://www.theolympian.com/news/local/article196931169.html,,,,,
Olympia,Planned Parenthood,WA,US,2018-01-26,,,,,,,general protestors,"Counter-protest, supporting abortion",1,,protest,0,0,0,0,0,1,http://www.theolympian.com/news/local/article196931169.html,,,,,
Pittsburgh,Wood St.,PA,US,2018-01-26,dozens,24,,24,,,general protestors,Protesting changes to public transportation,0,,protest,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2018/01/26/port-authority-bus-route-change-protest/,,,,,
Pittsburgh,,PA,US,2018-01-26,hundreds,200,,200,,,general protestors,Rallying for educational choice,0,,rally,0,0,0,0,1,1,http://www.wpxi.com/news/top-stories/students-teachers-parents-to-hold-education-rally/689676589,,,,,
San Francisco,Downtown ICE office,CA,US,2018-01-26,more than 100,100,,100,,,Reform California,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://www.jweekly.com/2018/01/26/watch-let-people-stay-rings-jewish-protest-s-f-immigration-office/,,,,,
San Francisco,ICE Office,CA,US,2018-01-26,,,,,,,general protestors,protesting deportation of local man,1,,protest,0,0,0,0,0,1,https://www.nbcbayarea.com/news/local/Family-of-Deported-Father-Call-for-His-Release-in-Peaceful-Protest-471372074.html,,,,,
South Bradenton, to Sheriff's Office,FL,US,2018-01-26,about 30,30,,30,,,general protestors,Shooting of resident,0,,vigil,0,0,0,0,1,1,http://www.bradenton.com/news/local/article196990074.html,http://www.heraldtribune.com/news/20180126/marchers-protest-fatal-shooting-of-black-man,,,,
Tallahassee,State Capitol,FL,US,2018-01-26,30,30,,30,,,League of the South,White nationalist rally,2,,rally,0,0,0,0,1,1,https://www.splcenter.org/hatewatch/2018/01/29/league-south-outmatched-peaceful-counter-protest-tallahassee,,,,,
Tallahassee,State Capitol,FL,US,2018-01-26,150,150,,150,,,Students for a democratic society,Counter-protest,1,,protest,0,0,0,0,0,1,https://www.splcenter.org/hatewatch/2018/01/29/league-south-outmatched-peaceful-counter-protest-tallahassee,,,,,
Taunton,Taunton Green,MA,US,2018-01-26,about 60,60,,60,,,general protestors,Protesting the closure of Morton's Maternity home,0,,vigil,0,0,0,0,1,1,http://www.enterprisenews.com/news/20180127/taunton-vigil-march-oppose-closure-of-morton-maternity-ward,,,,,
Waterbury,Superior Court Information,CT,US,2018-01-26,FB: 105,105,,105,,,General Protestors,Rallying for murder charge decision of James Boulay,0,,march,0,0,0,0,1,1,https://www.facebook.com/events/158551991459071/,,,,,
Alamo,Santa Ana National Wildlife Reserve,TX,US,2018-01-27,FB: 547,547,,547,,,Save Santa Ana National Wildlife Reserve,Protesting Trump's proposal to wall off the reserve,1,,protest; rally,0,0,0,0,1,1,https://www.facebook.com/events/419603675122981/,http://www.expressnews.com/news/local/article/Hundreds-turn-out-for-rally-opposing-border-wall-12531021.php,http://www.themonitor.com/news/local/article_5b4fed72-02fe-11e8-912c-57b4e0f61fc1.html,,,
Amarillo,,TX,US,2018-01-27,,,,,,,General Protestors,Pro-Life March; Walk for Life,2,,march,0,0,0,0,1,1,http://www.newschannel10.com/story/37365414/amarillo-demonstrators-seek-an-end-to-abortion,,,,,
Antioch,Somersville Towne Center,CA,US,2018-01-27,50,50,,50,,,Indivisible Contra Costa County; East County NAACP; Todos Unidos,Protesting Trump,1,,Protest; march,0,0,0,0,1,1,https://lmcexperience.com/news/2018/01/31/east-county-residents-march-for-equality/,,,,,
Austin,State Capitol,TX,US,2018-01-27,up to 5000; thousands,2000,,5000,,,General Protestors,Protesting abortion,2,,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/happening-now-texas-rally-for-life-kicks-off-near-capitol/VtG66U8Ljs9d6wxgQ4u93K/,http://www.kvue.com/news/local/thousands-march-to-capitol-for-texas-rally-for-life/512095468,,,,
Austin,State Capitol,TX,US,2018-01-27,,,,,,,Austin NOW; Texas Handmaids,Pro-Choice Protest,1,,protest,0,0,0,0,0,1,https://www.facebook.com/events/157737501530507/,,,,,
Cincinnati,Fountain Square; downtown; Prince of Peace Church,OH,US,2018-01-27,,,,,,,Maslow's Army,Homelessness Solidarity March,0,,protest,0,0,0,0,1,1,http://www.fox19.com/story/37369374/group-holds-march-for-homelessness-downtown,,,,,
Denver,State Capitol,CO,US,2018-01-27,FB: 307,307,,307,,,The Resistance 5280,Protesting Trump administration,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2336495966576056/,,,,,
Erie,,PA,US,2018-01-27,,,,,,,General Protestors,March for Life,2,,march,0,0,0,0,1,1,http://www.yourerie.com/news/local-news/people-march-for-life-in-downtown-erie/941889724,,,,,
Fort Wayne,Downtown Fort Wayne,IN,US,2018-01-27,,,,,,,Allen County Right to Life,Protesting abortion and 1973 Roe v. Wade,2,,march,0,0,0,0,1,1,http://www.journalgazette.net/blog/political-notebook/20180108/annual-march-for-life-planned-for-jan-27,,,,,
Grand Forks,,ND,US,2018-01-27,,,,,,,Dreamers,Protesting immigration process,1,,march,0,0,0,0,1,1,http://www.wdaz.com/news/4394833-small-group-marchers-grand-forks-show-support-dreamers,,,,,
Greensboro,LeBauer Park,NC,US,2018-01-27,more than 100,100,,100,,,General Protestors,Protesting Trump's travel ban,1,,protest,0,0,0,0,1,1,http://www.greensboro.com/news/local_news/groups-gather-in-lebauer-park-to-protest-immigration-issues-on/article_6a1060b3-fa07-58ab-aa85-d214578c383b.html,,,,,
Indianapolis,State House,IN,US,2018-01-27,about 125,125,,125,,,General Protestors,March of Impeachment,1,,march,0,0,0,0,1,1,https://www.indystar.com/picture-gallery/news/2018/01/27/rain-dampens-hoosiers-march-for-impeachment-impeachment-march-rally/109868332/,,,,,
Jefferson City,Broadway St.,MO,US,2018-01-27,estimated thousand,1000,,1000,,,General Protestors,Protesting abortion,2,,protest,0,0,0,0,1,1,http://www.newstribune.com/news/news/story/2018/jan/28/tide-turning/710854/,,,,,
Lincoln,Capitol to University of Nebraska Lincoln,NE,US,2018-01-27,varied 5000 ; to about 100,1000,,5000,,,General Protestors,Anti-abortion March For Life,2,,march,0,0,0,0,1,1,http://journalstar.com/news/local/gov-ricketts-declares-nebraska-a-pro-life-state-at-th/article_ae1f1105-e1da-5561-bdbd-e2040ca4ca92.html,http://www.klkntv.com/story/37365111/walk-for-life-march-met-with-counter-protesters,http://www.newsobserver.com/news/politics-government/national-politics/article197047864.html,,,
Lincoln,Capitol to University of Nebraska Lincoln,NE,US,2018-01-27,,100,,100,,,General Protestors,Pro-Choice Counter-Protest ,1,,march,0,0,0,0,0,1,http://journalstar.com/news/local/gov-ricketts-declares-nebraska-a-pro-life-state-at-th/article_ae1f1105-e1da-5561-bdbd-e2040ca4ca92.html,,,,,
McClellenville,,SC,US,2018-01-27,,,,,,,Truel Healing Under God,Rallying for defendant,0,,rally,0,0,0,0,1,1,http://www.live5news.com/story/37365648/group-rallies-to-insist-innocence-of-man-named-in-brittanee-drexel-case,,,,,
New York,FREQ and Highline Theaters,NY,US,2018-01-27,Dozens,24,,24,,,Black Women's Blueprint,Protesting R. Kelly; #MeToo Movement,1,,protest,0,0,0,0,1,1,https://blavity.com/dozens-of-black-women-hold-protest-rally-outside-of-r-kelly-concert-to-speak-out-against-assault,,,,,
New York,ICE Office,NY,US,2018-01-27,,,,,,,General Protestors,Protesting ICE detention of local man,1,,protest,0,0,0,0,1,1,http://www.spokesman.com/stories/2018/jan/27/congresswoman-invites-detainees-wife-to-trump-spee/,,,,,
North Charleston,Charleston County Detention Center,SC,US,2018-01-27,,,,,,,True Healing Under God,Protesting arrest of local man,0,,protest,0,0,0,0,1,1,http://www.wbtv.com/story/37365648/group-rallies-to-insist-innocence-of-man-named-in-brittanee-drexel-case,,,,,
Orlando,Colonial Dr.,FL,US,2018-01-27,about 20,20,,20,,,Moms Demand Action,Protesting gun violence,1,,protest,0,0,0,0,1,1,http://www.orlandosentinel.com/news/breaking-news/os-moms-gun-violence-20180127-story.html,,,,,
San Francisco,Civic Center Plaza,CA,US,2018-01-27,"tens of thousands; thousands; expected some 50,000",20000,,50000,,,General Protestors,Protesting abortion,2,,protest,0,0,0,0,1,1,https://www.sfgate.com/bayarea/article/March-for-Life-brings-crowd-to-San-Francisco-12530684.php,http://www.sacbee.com/latest-news/article197053184.html,http://www.kolotv.com/content/news/Thousands-march-in-San-Francisco-anti-abortion-event-471466443.html,,,
San Francisco,,CA,US,2018-01-27,several hundred,200,,200,,,General Protestors,counter Proterstors of pro life march,1,,protest,0,0,0,0,0,1,http://www.kolotv.com/content/news/Thousands-march-in-San-Francisco-anti-abortion-event-471466443.html,,,,,
St. Lois,Planned Parenthood in the Central West End to the Old Cathedral,MO,US,2018-01-27,more than 100,100,,100,,,General Protestors,Anti-abortion March For Life,2,,march,0,0,0,0,1,1,http://www.stltoday.com/news/local/metro/anti-abortion-march-in-downtown-st-louis-draws-more-than/article_c5836068-057b-5770-a0ca-91a336966675.html,,,,,
Tallahassee,,FL,US,2018-01-27,about 30,30,,30,,,League of South Members,White nationalist rally,2,,rally,0,0,0,0,1,1,http://www.tallahassee.com/story/news/2018/01/27/heavy-law-enforcement-presence-keeps-league-south-rally-peaceful-white-supremacists/1072048001/,http://www.fightbacknews.org/2018/1/29/tallahassee-counter-protest-against-white-supremacists,,,,
Tallahassee,,FL,US,2018-01-27,about 175,175,,175,,,General Protestors,counter Proterstors to KKK rally,0,,protest,0,0,0,0,0,1,http://www.tallahassee.com/story/news/2018/01/27/heavy-law-enforcement-presence-keeps-league-south-rally-peaceful-white-supremacists/1072048001/,,,,,
Washington,Lafayette Park,DC,US,2018-01-27,,,,,,,General Protestors,Protesting Trump's travel ban,1,,protest,0,0,0,0,0,1,http://www.breitbart.com/big-government/2018/01/27/protesters-slam-trump-on-one-year-anniversary-of-travel-ban-strongly-condemn-racist-white-supremacist-beliefs/,,,,,
Washington,Lincoln Memorial to the National Mall,DC,US,2018-01-27,hundreds,200,,200,,,People Demand Action,Peales March on Washigton,1,,march,0,0,0,0,0,1,http://cnycentral.com/news/nation-world/protesters-gather-in-dc-to-march-for-trumps-impeachment,,,,,
Washington,Outside White House,DC,US,2018-01-27,,,,,,,General Protestors,Protesting travel ban anniversary; #nomuslimbanever,1,,protest,0,0,0,0,0,1,https://www.dailydot.com/layer8/nomuslimbanever-protest/,,,,,
Washington,,DC,US,2018-01-27,Photo: hundreds,200,,200,,,General Protestors,Protesting Trump,1,,protest,0,0,0,0,1,1,http://dailycaller.com/2018/01/27/d-c-protesters-shut-down-streets-have-no-clue-what-theyre-protesting/,,,,,
Jacksonville,Hemming Plaza,FL,US,2018-01-28,Photo: dozens,24,,24,,,Occupy Jacksonville,Protesting confederate monuments,1,,protest,0,0,0,0,1,1,https://www.news4jax.com/news/protesters-rally-for-change-at-hemming-plaza,,,,,
Metuchen,Borough Municiple Building,NJ,US,2018-01-28,more than 500,500,,500,,,General Protestors,Protesting ICE,1,,protest,0,0,0,0,1,1,http://www.mycentraljersey.com/story/news/local/outreach/caring-communities/2018/01/28/justice-sought-rally-detained-indonesians/1072962001/,,,,,
Oakland,Reem's Bakery,CA,US,2018-01-28,,,,,,,General Protestors,Protesting pro-Palestinian mural,0,,protest,0,0,0,0,1,1,https://www.eastbaytimes.com/2018/01/28/jewish-muslim-groups-at-odds-in-oakland-bakery-mural-protest/,,,,,
Oakland,Reem's Bakery,CA,US,2018-01-28,about 15,15,,15,,,Arab Resource and Organizing Center,Rallying for pro-Palestinian mural,0,,rally,0,0,0,0,0,1,https://www.eastbaytimes.com/2018/01/28/jewish-muslim-groups-at-odds-in-oakland-bakery-mural-protest/,,,,,
Springfield,11th St.,IL,US,2018-01-28,hundreds,200,,200,,,Crusaders of Life,Protesting abortion,2,,protest,0,0,0,0,1,1,http://www.sj-r.com/news/20180128/hundreds-march-in-springfield-to-share-pro-life-message,,,,,
Wailua,Coco Springs Resort,HI,US,2018-01-28,about 80,80,,80,,,General Protestors,Protesting removal of site,0,,protest,0,0,0,0,1,1,http://www.thegardenisland.com/2018/01/29/hawaii-news/80-gather-to-protest-removal-from-coco-palms-site-but-no-law-enforcement-shows/,,,,,
Augusta,Central Maine Power HQ,ME,US,2018-01-29,about 30,30,,30,,,Quaker Meetings,"Protesting fossil fuels, rallying for clean energy",1,,protest,4,0,0,0,1,1,https://www.centralmaine.com/2018/01/29/protesters-converge-on-cmp-augusta-headquaters-over-solar-issue-some-arrested/,http://www.newsobserver.com/news/business/article197345499.html,,,,
Bay Ridge,Offices of NY State Sen. Marty Golden,NY,US,2018-01-29,roughly 20,20,,20,,,Working Families Party; Alliance for Quality Education; Drug Policy Alliance (DPA),Protesting comments by Sen. Golden about opiods,0,,protest,0,0,0,0,1,1,https://www.brooklyneagle.com/articles/2018/1/29/small-vocal-crowd-gathers-outside-goldens-office-protest-ghetto-drug-remark,,,,,
Chicago,,IL,US,2018-01-29,,,,,,,General Protestors,Protesting closure of public pool,0,,protest,0,0,0,0,1,1,https://www.jsonline.com/videos/news/2018/01/23/chorizo-falls-during-sausage-race-miller-park/109740042/,,,,,
Dayton,Premiere Health's Downtown HQ,OH,US,2018-01-29,about 30,30,,30,,,General Protestors,Protesting hospital closure,0,,protest,0,0,0,0,1,1,http://www.daytondailynews.com/news/pastors-lead-protest-against-good-sam-closing/NwVJ7psm02nCWLT94ZUY8J/,http://www.mydaytondailynews.com/news/kucinich-rallies-with-protesters-against-hospital-closure/kYxHGEV8VnEfz2JNGfOspL/,http://www.journal-news.com/news/kucinich-rallies-with-protesters-against-hospital-closure/kYxHGEV8VnEfz2JNGfOspL/,second day of protest (1/29-1/30),,
Detroit,Police Department,MI,US,2018-01-29,hundredd,200,,200,,,general protestors,Rally for oficer killed in the line of duty,2,,rally,0,0,0,0,1,1,https://www.freep.com/story/news/local/michigan/detroit/2018/01/29/glenn-doss-detroit-police-officer-vigil/1077132001/,,,,,
Elmira,Wisner Park,NY,US,2018-01-29,,,,,,,Elmira Peace Vigil,Rallying for peace,0,,rally,0,0,0,0,1,1,http://www.weny.com/story/37378899/silent-peace-rally-held-in-elmira,,,,,
Lexington,Tates Creek High School,KY,US,2018-01-29,about 100,100,,100,,,Students,Protesting school's mold problem,0,,protest,0,0,0,0,1,1,http://www.kentucky.com/news/local/education/article197199314.html,,,,,
Philadelphia,Church of the Advocate,PA,US,2018-01-29,,,,,,,New Sanctuary Movement,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,http://www.phillytrib.com/news/rally-for-sanctuary/article_d20ac0c8-da65-511e-991c-6bbc252775b3.html,,,,,
Pittsburgh,Alleghany County Courthouse,PA,US,2018-01-29,,,,,,,ACLU,Protesting Sen's support for anti-abortion bill,1,,protest,0,0,0,0,1,1,http://triblive.com/politics/politicalheadlines/13239201-74/pro-choice-groups-protest-caseys-support-for-bill-restricting-abortions,,,,,
Poughkeepsie,Mansion Square,NY,US,2018-01-29,some 20,20,,20,,,general protestors,Protesting gun violence,1,,protest,0,0,0,0,1,1,http://www.poughkeepsiejournal.com/story/news/2018/01/29/community-rallies-end-gun-violence-after-saturdays-fatal-shooting/1075842001/,,,,,
Racine,Downtown,WI,US,2018-01-29,,,,,,,general protestors,Protesting police brutality,1,,protest,0,0,0,0,1,1,https://www.facebook.com/wisn12/videos/10160062134555284,,,,,
St. Paul,Outside Xcel Energy Center,MN,US,2018-01-29,several hundreds,200,,200,,,MN Black Lives Matter,Protesting racial inequality,1,,protest,0,0,0,0,1,1,https://www.usatoday.com/story/sports/nfl/2018/01/29/super-bowl-protest-opening-night-black-lives-matter/1077434001/,,,,,
Syracuse,City Hall,NY,US,2018-01-29,more than 150,150,,150,,,The Workers' Center of CNY,Protesting travel ban,1,,protest,0,0,0,0,1,1,http://dailyorange.com/2018/01/gallery-marchers-rally-downtown-syracuse-protest-president-donald-trump/,,,,,
Washington,FCC,DC,US,2018-01-29,NA,1,,1,,,Rob Bliss,Protesting repeal of net neutrality,1,,protest,0,0,0,0,1,1,https://www.dailydot.com/debug/fcc-fast-lane-protest/,,,,,
Cleveland,Market Square,OH,US,2018-01-30,FB: 118,118,,118,,,general protestors,Protesting deportations ,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/563182824058778/?active_tab=about,,,,,
Mineral Wells,,TX,US,2018-01-30,group of people,,,,,,general protestors,Constitutional Rights March,0,,march,0,0,0,0,1,1,http://www.mineralwellsindex.com/constitutional-rights-march/html_b31b0fd2-05e7-11e8-a9e8-231fe3a23b36.html,,,,,
Morehead City,,NC,US,2018-01-30,,,,,,,Crystal Coast Waterkeeper,Protesting offshore drilling,1,,protest,0,0,0,0,1,1,http://wnct.com/2018/01/30/crystal-coast-holds-event-to-protest-offshore-drilling/,,,,,
New York,Penn Station,NY,US,2018-01-30,approximately 1000,40,,100,,,general protestors,Protesting arrest of Palestinian activist Ahed Tamimi,1,,protest,0,0,0,0,0,1,http://freebeacon.com/issues/anti-israel-students-protest-arrest-palestinian-teen-assaulted-israeli-soldiers/,http://www.fightbacknews.org/2018/2/2/new-york-rallies-ahed-tamimi-s-birthday,,,,
New York,Times Square,NY,US,2018-01-30,hundreds,200,,200,,,general protestors,Protesting detention of Palestinian girl,0,,protest,0,0,0,0,0,1,https://english.palinfo.com/news/2018/1/31/Hundreds-rally-in-New-York-to-push-for-release-of-16-year-old-Tamimi,,,,,
New York,Trump Tower,NY,US,2018-01-30,about 15,15,,15,,,general protestors,Protesting Trump's immigration policy,1,,protest,14,0,0,0,1,1,https://nypost.com/2018/01/30/protesters-climb-into-globe-outside-trump-hotel/,,,,,
Philadelphia,City Hall,PA,US,2018-01-30,hundreds,200,,200,,,general protestors,Rallying for charter schools,0,,rally,0,0,0,0,1,1,http://www.philly.com/philly/education/charters-rally-philly-accountability-20180130.html,,,,,
Portland,SW Salmon St.,OR,US,2018-01-30,FB: 27,27,,27,,,Indivisible Oregon,Protesting Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/530126970685955/,,,,,
Providence,,RI,US,2018-01-30,,,,,,,general protestors,Protesting deportation of local woman,1,,protest,0,0,0,0,1,1,https://www.washingtontimes.com/news/2018/jan/30/supporters-rally-for-providence-mother-detained-by/,,,,,
San Antonio,U.S. Sen. Cornyn's office,TX,US,2018-01-30,FB: 8,8,,8,,,TX21Indivisible,against Senator Cornyn,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/159648204665228/,,,,,
Tampa,ICE office,FL,US,2018-01-30,,,,,,,general protestors,Protesting deportation of local man,1,,protest,0,0,0,0,1,1,http://www.wtsp.com/news/local/hillsboroughcounty/demonstration-held-for-plant-city-man-before-his-deportation/512796076,,,,,
Vista,1800 Thibodo Rd,CA,US,2018-01-30,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Vista,1800 Thibodo Rd.,CA,US,2018-01-30,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,,
Washington,U.S. Capitol,DC,US,2018-01-30,about 200,200,,200,,,general protestors,Protesting Trump's state of the union,1,,protest,0,0,0,0,1,1,https://www.washingtonpost.com/video/politics/protesters-in-washington-see-a-different-state-of-the-union/2018/01/30/387a7d78-063a-11e8-aa61-f3391373867e_video.html?utm_term=.dd04e0c3391f,http://www.wkyc.com/article/news/nation-now/hundreds-of-protesters-targeted-trump-as-he-arrived-for-state-of-the-union/465-2bf29863-5adc-41f7-84f4-7989025d791a,,,,
Brentwood,,NY,US,2018-01-31,,,,,,,general protestors,Protesting Trump's state of the union,1,,protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2018/01/31/immigrants-brentwood-trump/,,,,,
Charleston,,WV,US,2018-01-31,about 500,500,,500,,,general protestors,Rallying for more expansive healthcare coverage,1,,rally,0,0,0,0,1,1,http://www.wsaz.com/content/news/Group-gathers-in-Charleston-to-protest-ahead-of-the-GOP-retreat-472031983.html,,,,,
Charlottesville,John Paul Arena,VA,US,2018-01-31,,,,,,,Women United,Protesting sexual assault,1,,protest,0,0,0,0,1,1,http://www.nbc29.com/story/37399789/women-united-activist-group-protests-outside-john-paul-jones-arena,,,,,
Cleveland,Market Square,OH,US,2018-01-31,about 100; FB: 119,100,,119,,,general protestors,Protesting deportation of local man,1,,protest,0,0,0,0,1,1,http://www.fox19.com/story/37391070/demonstrators-protest-deportation-of-ohio-businessman,https://www.facebook.com/events/563182824058778/?active_tab=about,,,,
East Lansing,Michigan State University,MI,US,2018-01-31,,,,,,,general protestors,Protesting MSU interim president,0,,protest,0,0,0,0,1,1,http://www.wgrz.com/article/news/nation-now/michigan-state-students-faculty-protest-after-trustees-pick-former-governor-as-acting-president/465-cd1602d6-7d0d-4368-85ef-b39b2aac6d33,,,,,
Harrisburg,Dauphin County Courthouse,PA,US,2018-01-31,NA,1,,1,,,general protestors,Protesting confederate monuments,1,,protest,0,0,0,0,1,1,http://abc27.com/2018/01/31/activist-to-burn-combined-confederate-nazi-flag-on-dauphin-county-courthouse-steps/,,,,,
Los Angeles,Hall of Justice,CA,US,2018-01-31,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Los Angeles,UCLA Campus,CA,US,2018-01-31,around 25,25,,25,,,general protestors,Protesting detention of Palestinian girl,0,,protest,0,0,0,0,1,1,http://dailybruin.com/2018/01/31/photo-wednesdays-demonstration-outside-royce-hall-supported-activist-ahed-tamimi/,,,,,
New Orleans,Bourbon Street,LA,US,2018-01-31,70,70,,70,,,general protestors,Protesting police raids on New Orleans strip clubs; protesting long renovation to Bourbon Street,0,,protest,0,0,0,0,1,1,https://www.bestofneworleans.com/thelatest/archives/2018/01/31/strip-club-workers-drown-out-bourbon-street-infrastructure-press-conference,,,,,
Washington,outside Israeli Embassy,DC,US,2018-01-31,,20,,20,,,students,Protesting for release of Ahed Tamimi,0,,protest,0,0,0,0,1,1,http://washingtonjewishweek.com/43855/imprisoned-palestinian-girl-draws-student-protest-in-d-c/news/,,,,,
Anacortes,Depot Arts Center,WA,US,2018-01-19,FB: 165,165,,165,,,general protestors,Empower Voters to Support Womens's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1399912763452329/,,,,,
Adrian,Old Courthouse,MI,US,2018-01-20,250,250,,250,,,Lenawee Indivisible,Empower Voters to Support Women's Rights,1,1,protest,0,0,0,0,1,1,https://actionnetwork.org/events/adrian-mi-womens-march-2018-power-to-the-polls,https://www.facebook.com/events/544708952556798/,http://www.lenconnect.com/news/20180121/womens-march-brings-250-to-old-lenawee-county-courthouse,,,
Alameda,Park St. and Santa Clara Ave.,CA,US,2018-01-20,,,,,,,Alameda Progressives,Empower Voters to Support Women's Rights,1,1,march; rally,0,0,0,0,1,1,https://actionnetwork.org/events/solidarity-womens-march-alameda,,,,,
Albany,West Capitol Park,NY,US,2018-01-20,thousands,2000,,2000,,,NY19Speaks; Citizen Action of New York,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/159662234765764/,https://www.timesunion.com/news/article/A-year-later-protesters-return-to-the-streets-12512424.php,,,,
Albany,Linn County Courthouse,OR,US,2018-01-20,200,200,,200,,,Rural Oregon Progressives; Albany Region Indivisible,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,http://democratherald.com/news/local/political-action-marks-second-year-for-women-s-rally/article_0efd4203-00c4-56c2-9b1a-b0afd2a23d32.html,,,,,
Amarillo,Elwood Park,TX,US,2018-01-20,about 200; na,200,,250,,,Indivisible Amarillo,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/the-peoples-march-hear-our-voices,http://www.newschannel10.com/story/37312386/amarillo-womens-march,https://twitter.com/Brookslei/status/955098008412147717,,,
Anchorage,Delany Park,AK,US,2018-01-20,hundreds; FB: 784,200,,784,,,Women's March on Anchorage,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/241786706357585/,http://www.ktva.com/story/37311184/anchorage-hosts-2018-womens-march-amid-protests-nationwide,,,,
Ann Arbor,Diag; University of Michigan,MI,US,2018-01-20,more than 3000; approx 4000,3000,,4000,,,Progressives at the University of Michigan,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2018/01/more_than_3000_rally_at_womens.html,https://www.michigandaily.com/section/campus-life/thousands-gather-diag-second-annual-womens-march,,,,
Annapolis,Lawyer's Park,MD,US,2018-01-20,hundreds,200,,200,,,March On Maryland,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/136570970211321/,http://www.baltimoresun.com/ac-cn-annapolis-womens-march-0121-story.html,,,,
Asheville,Roger McQuire Green,NC,US,2018-01-20,about 3000,3000,,3000,,,Women's March on Asheville,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/408751532894308/,http://www.citizen-times.com/story/news/local/2018/01/20/womens-march-asheville-2018/1051074001/,,,,
Aspen,Community Ski Lap at Gondola Plaza,CO,US,2018-01-20,,,,,,,Aspen Ski and March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/photo.php?fbid=10213956978293030&set=gm.409990206098656&type=3&theater&ifg=1,,,,,
Athens,First United Methodist Church,OH,US,2018-01-20,About 200 ,200,,200,,,general protestors,Empower Voters to Support Women's Rights,1,1,march; rally,0,0,0,0,1,1,https://actionnetwork.org/events/womens-march-athens-2018,http://www.thepostathens.com/article/2018/01/womens-march-athens-ohio,https://www.athensnews.com/women-and-others-march-in-protest/collection_f80bcd24-fe40-11e7-8c14-cf6c68494961.html#20,,,
Atlanta,The Bakery Atlanta,GA,US,2018-01-20,thousands,2000,,2000,,,Georgia Alliance for Social Justice,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/161813877754837/,http://www.ajc.com/news/state--regional-govt--politics/trump-anniversary-thousands-women-rally-power-the-polls-atlanta/vP2SPdmp6rXurdl3WA9sOJ/,,,,
Augusta,state house,ME,US,2018-01-20,"more than 2,000; about 2500; 3000-4500",2000,,4500,,,March Forth Maine,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://marchonthepolls.org/event/maine-womens-march-2-0/,https://www.facebook.com/events/1927142374270489/,https://www.pressherald.com/2018/01/20/about-2500-march-for-womens-rights-in-augusta/,,https://heavy.com/news/2018/01/womens-march-numbers-2018-attendance-turnout-by-city/,http://www.penbaypilot.com/article/augusta-women-s-march-draws-more-3000/97025
Austin,Congress Avenue in Austin to State Capitol,TX,US,2018-01-20,"about 1,200; thousands; about 2000",1200,,2000,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.kvue.com/news/local/thousands-march-through-downtown-austin-for-womens-march-2018/509864878,https://patch.com/texas/downtownaustin/thousands-gather-austin-womens-march-2018,https://heavy.com/news/2018/01/womens-march-numbers-2018-attendance-turnout-by-city/,,,
