CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Port Angeles,from Clallam County Courthouse to the Port Angeles City Pier,WA,US,2018-08-31,close to 200,200,,200,,,general protestors,promote overdose awareness,0,rally,0,0,0,0,1,1,https://www.peninsuladailynews.com/news/speakers-tell-of-experiences-with-illegal-drugs-at-port-angeles-rally/,,,,,,,
San Francisco,Hall of Justice,CA,US,2018-08-31,na,20,,30,,,Mothers on the March,calling for murder charges to be filed against officers involved in fatal police shootings,1,protest,0,0,0,0,1,1,http://www.sfexaminer.com/hall-justice-protest-police-shootings-blocks-traffic/,,,,,,,
Stamford,outside of Purdue Pharma ,CT,US,2018-08-31,about 60,60,,60,,,Today I Matter ,protesting Rx company for oxycontin pushing; raising awareness about drug overdoses,1,protest; vigil,0,0,0,0,1,1,https://www.stamfordadvocate.com/local/article/Summer-of-Purdue-Pharma-protests-comes-to-close-13197647.php,,,,,,,
Tiverton,Twin River-Tiverton Casino,RI,US,2018-08-31,about a dozen,12,,12,,,picketers,Casino Security Officers Association,0,protest,0,0,0,0,1,1,http://www.newportri.com/news/20180901/tiverton-casino-opens-with-excitement-protest,,,,,,,
Tucson,federal building,AZ,US,2018-08-31,more than 200,200,,200,,,general protestors,AZ supreme court's striking down education funding measure,0,protest,0,0,0,0,1,1,https://www.kgun9.com/news/local-news/protesters-gather-downtown-for-in-support-of-invest-in-ed,,,,,,,
Waterbury,East Main Street in downtown ,CT,US,2018-08-31,,,,,,,Workers at Wellmore Behavioral Health,rallying for International Overdose Awareness Day,0,rally,0,0,0,0,1,1,https://www.wtnh.com/news/connecticut/new-haven/waterbury-rallies-to-save-lives-for-opioid-awareness-day/1410144753,,,,,,,
Waynesville,"Old Armory, 44 Boundary St.",NC,US,2018-08-31,,,,,,,Down Home North Carolina; North Carolina Harm Reduction Coalition; Appalachian Community Services; North Carolina Council of Churches,promote overdose awareness,0,march; rally,,,,,1,1,https://www.themountaineer.com/life/hundreds-march-on-international-overdose-awareness-day/article_f7dc3c6c-a61f-11e8-b745-7387d471f8fb.html,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact date uncertain (not counted in totals),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine,,WI,US,August 2018,,,,,,,general protestors,protest ICE arrests,1,protest,,,,,,,https://www.npr.org/2018/08/12/637932137/protests-over-ice-detention-of-wisconsin-latino-activist,,,,,,,
Fairfield,Hyde correctional institute,NC,US,"week of August 20, 2018",about 100,100,,100,,,prisoners,"protesting prison labor/conditions, deaths in custody",1,protest,0,0,0,0,1,1,https://www.theguardian.com/us-news/2018/aug/23/prison-strike-us-canada-forced-labor-protest-activism,,,,,,,
