CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Spokane,Congresswoman Cathy McMorris Rodgers' office,WA,US,2018-07-05,about 25,25,,25,,,general protestors,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://www.kxly.com/news/immigrant-child-separation-protest-hits-spokane/763671454,https://www.krem.com/article/news/local/spokane-county/demonstrators-leave-shoes-at-cathy-mcmorris-rodgers-office-to-protest-immigration-policy/293-571127213,,,
Turlock,Julien Field,CA,US,2018-07-05,at least a dozen,12,,12,,,general protestors,protest decision to purchase All-Star hats rather than All-Star jerseys,0,protest,0,0,0,0,1,1,https://www.turlockjournal.com/sports/youth/national-parents-coaches-protest-decision-not-buy-all-star-jerseys/,,,,
Woodside,entrance to Mounted Patrol of San Mateo County,CA,US,2018-07-05,na,8,,8,,,general protestors,protesting pig scramble and rodeo ,0,protest,0,0,0,0,1,1,https://www.almanacnews.com/news/2018/07/05/woodside-annual-rodeo-draws-two-protest-groups,https://www.youtube.com/watch?v=GtTy-w0sQwU,,partial count estimated from photo and video,
Bellingham,outside Woodway Assisted Living facility,WA,US,2018-07-06,,,,,,,residents,protesting conditions at Woodway Assisted Living facility,0,protest,0,0,0,0,1,1,https://www.king5.com/article/news/local/senior-citizens-protest-living-conditions-at-bellingham-facility/281-571442822,,,,
Cape Canaveral,outside Comprehensive Health Services global headquarters; State Road A1A,FL,US,2018-07-06,about 30; roughly 40,30,,40,,,general protestors,protesting ICE and family separation; protesting Comprehensive Health Services work with ICE,1,protest,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2018/07/06/protest-comprehensive-health-services-cape-canaveral/752465002/,,,,
Clackamas,Kaiser Permanente Sunnyside Medical Center,OR,US,2018-07-06,dozens,24,,24,,,nurses,rallying for better staffing,0,rally,0,0,0,0,1,1,https://katu.com/news/local/kaiser-nurses-rally-for-better-staffing,,,,
Gary,Gary/Chicago International Airport,IN,US,2018-07-06,more than 100,100,,100,,,general protestors,protest airport use for deportations; anti-ICE,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/post-tribune/news/ct-ptb-gary-airport-protest-july-6-st-20180705-story.html,,,,
Hillsboro,Kaiser Permanente Westside Medical Center,OR,US,2018-07-06,dozens,24,,24,,,nurses,rallying for better staffing,0,rally,0,0,0,0,1,1,https://katu.com/news/local/kaiser-nurses-rally-for-better-staffing,,,,
Iberville Parish,,LA,US,2018-07-06,na,1,,1,,,general protestor,oppose construction of the Bayou Bridge Pipeline,0,protest,0,0,0,0,1,1,http://www.wbrz.com/news/man-attached-to-equipment-in-second-bayou-bridge-pipeline-protest/,,,,
Joliet,Jefferson Street and N. Larkin Avenue,IL,US,2018-07-06,,,,,,,Pro-Life Action League,anti-abortion,2,rally,,,,,1,1,https://prolifeaction.org/event/truthtour2018/,,,,
Joliet,Route 59 and Caton Farm Road,IL,US,2018-07-06,,,,,,,Pro-Life Action League,anti-abortion,2,rally,,,,,0,1,https://prolifeaction.org/event/truthtour2018/,,,,
Laurel,Gorman Road bridge over I-95,MD,US,2018-07-06,,,,,,,Howard County Indivisible Immigration Action Team,protesting ICE and family separation,1,protest,,,,,1,1,http://www.baltimoresun.com/news/maryland/howard/ph-ho-immigration-protest-0706-story.html,,,,
Omaha,outside DHS office,NE,US,2018-07-06,about 25,25,,25,,,general protestors,protesting ICE and family separation,1,protest,0,0,0,0,1,1,http://www.wowt.com/content/news/Omaha-area-protests-DHS-and-ICE-487533341.html,,,,
Philadelphia,outside city hall,PA,US,2018-07-06,about 2 dozen,24,,24,,,Occupy ICE,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,http://www.philly.com/philly/news/ice-protest-philadelphia-occupy-city-hall-20180706.html,,,,
Raymondville,outside Willacy County courthouse,TX,US,2018-07-06,about 50,50,,50,,,ARISE,against ICE; against reopening immigrant detention facility ,1,protest,0,0,0,0,1,1,https://www.texasobserver.org/despite-protests-willacy-county-forges-ahead-with-resurrection-of-notorious-immigrant-detention-center/,,,,
Shorewood,Route 59 and Black Road,IL,US,2018-07-06,,,,,,,Pro-Life Action League,anti-abortion,2,rally,,,,,1,1,https://prolifeaction.org/event/truthtour2018/,,,,
Tempe,Tempe Police Dept; 120 E 5th Street ,AZ,US,2018-07-06,FB: 2,2,,2,,,general protestors,opposed police use of excessive force,0,protest,,,,,1,1,https://www.facebook.com/events/1774671782624819/,,,,
Aurora,Planned Parenthood,IL,US,2018-07-07,,,,,,,Pro-Life Action League,anti-abortion,1,rally,,,,,1,1,https://prolifeaction.org/event/truthtour2018/,,,,
Aurora,Fox Valley Mall,IL,US,2018-07-07,,,,,,,Pro-Life Action League,anti-abortion,1,rally,,,,,0,1,https://prolifeaction.org/event/truthtour2018/,,,,
Bedminster,Clarence Dillon Public Library,NJ,US,2018-07-07,around 20,20,,20,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.mycentraljersey.com/story/news/politics/new-jersey/2018/07/07/president-trump-returns-bedmisnter-so-do-protesters/765432002/,,,,
Boston,50 Spruce Street by the 300th Anniversary Monument,MA,US,2018-07-07,FB: 8,8,,8,,,March for Our Rights,pro-second amendment,2,protest,0,0,0,0,1,1,https://www.facebook.com/events/1658293747572316/,,,,
Boulder,Central Park,CO,US,2018-07-07,FB: 8,8,,8,,,March for Our Rights,pro-second amendment,2,protest,0,0,0,0,1,1,https://www.facebook.com/events/1727994550654045/,,,,
Charlottesville ,,VA,US,2018-07-07,na,100,,100,,,Charlottesville community members and delegates,Civil Rights pilgrimage,1,march; protest,,,,,1,1,https://www.newsleader.com/story/news/2018/07/11/charlottesville-mayor-leads-pilgrimage-montgomery-al-lynching-memorial/774560002/,,,,
Chicago,Dan Ryan Expressway (79th to 67th st),IL,US,2018-07-07,thousands,2000,,2000,,,Rev. Michael Pfleger; general protestors,demand city officials address gun violence; pro-gun control,0,protest,,,,,1,1,http://www.chicagotribune.com/news/local/breaking/ct-met-protest-gun-violence-dan-ryan-20180625-story.html,http://time.com/5332511/chicago-protest-dan-ryan-expressway/,,,
Chicago,Millennium Park,IL,US,2018-07-07,a few dozen,36,,36,,,general Protestors,"Anti-fascism, pro-immigration reform",1,protest,0,0,0,0,0,1,http://www.chicagotribune.com/news/local/breaking/ct-met-group-gathers-to-protest-president-policies-20180707-story.html,,,,
Chicago,Millennium Park,IL,US,2018-07-07,approximately 35,35,,35,,,March for Our Rights,pro-second amendment,2,rally,0,0,0,0,0,1,https://www.oregonlive.com/today/index.ssf/2018/07/organizers_of_pro-gun_rallies.html,,,,
Concord,New Hampshire State House,NH,US,2018-07-07,FB: 40,40,,40,,,March for Our Rights,pro-second amendment,2,protest,0,0,0,0,1,1,https://www.facebook.com/events/1927989647246141/,,,,
Corsicana,Bunert Park,TX,US,2018-07-07,more than 50,50,,50,,,Navarro County Open Door Democrats Club,rally for Texas democrats,1,rally,0,0,0,0,1,1,http://www.corsicanadailysun.com/news/open-door-democrats-rally-saturday/article_db537850-83c7-11e8-87a0-3b17c3ef113a.html,,,,
Dallas,across the street from Paul Quinn College,TX,US,2018-07-07,about 20,20,,20,,,Open Carry Texas,protest March for Our Lives,2,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/guns/2018/07/07/parkland-school-shooting-survivors-bring-gun-control-message-dallas,https://www.edweek.org/ew/articles/2018/07/08/parkland-school-shooting-survivors-kick-off-bus.html,,,
Houston,Hermann Square,TX,US,2018-07-07,FB: 18,18,,18,,,March for Our Rights,pro-second amendment,2,rally,0,0,0,0,1,1,https://m4or.org/rsvp-hou/,https://www.facebook.com/events/228489377916348/,,,
Indianapolis,east steps of Indiana's State House,IN,US,2018-07-07,about 60,60,,60,,,general Protestors,support women who said Attorney General Curtis Hill inappropriately touched them; call for Hill's resignation,0,rally,0,0,0,0,1,1,https://www.indystar.com/story/news/2018/07/07/attorney-general-curtis-hill-rally-indiana-statehouse-inappropriate-touching-allegations/760542002/,,,,
Kenosha,Kenosha County Detention Center,WI,US,2018-07-07,dozens,24,,24,,,Industrial Workers of the World (IWW),protesting ICE,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/7/9/scores-protesters-march-immigrant-detention-center-kenosha-wi,,,,
Longview,Civic Circle,WV,US,2018-07-07,about 120,120,,120,,,Patriot Prayer,pro-second amendment; pro-trump;anti-immigration,2,rally,0,0,0,0,1,1,https://tdn.com/news/local/speakers-praise-bill-of-rights-attack-government-overreach-at-longview/article_7e86e5a1-9845-55bb-bcd1-8371018ccc8b.html,,,,
Los Angeles,Pershing Square,CA,US,2018-07-07,about 50; about 100,50,,100,,,March for Our Rights,pro-second amendment,2,rally,0,0,0,0,1,1,https://www.oregonlive.com/today/index.ssf/2018/07/organizers_of_pro-gun_rallies.html,https://www.theguardian.com/us-news/2018/jul/08/march-4-our-rights-pro-gun-rally-los-angeles,,,
Louisville,"7th and Broadway,",KY,US,2018-07-07,hundreds,200,,200,,,Occupy ICE Louisville,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://www.courier-journal.com/story/news/2018/07/07/occupy-ice-three-percenters-protest-immigration-louisville/765249002/,https://www.courier-journal.com/story/news/2018/07/07/occupy-ice-louisville-immigration-rally-counters-three-percenter-protest/765551002/,,,
Louisville,7th and Chestnut streets,KY,US,2018-07-07,about 50,50,,50,,,Three Percenters,pro-ICE,2,counter-protest,0,0,0,0,0,1,https://www.courier-journal.com/story/news/2018/07/07/occupy-ice-three-percenters-protest-immigration-louisville/765249002/,https://www.courier-journal.com/story/news/2018/07/07/occupy-ice-louisville-immigration-rally-counters-three-percenter-protest/765551002/,,,
Naperville,Washington Street and Ogden Avenue,IL,US,2018-07-07,,,,,,,Pro-Life Action League,anti-abortion,2,rally,,,,,1,1,https://prolifeaction.org/event/truthtour2018/,,,,
