CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Maplewood,"office of Assemblywoman Mila Jasey, 511 Valley St",,NJ,US,2020-12-02,70-80,70,,80,,,LIFENET; New Jersey Right to Life; BlackGenocide.org; Family Policy Alliance of New Jersey; Garden State Families,"against abortion, against Reproductive Freedom Act",2,protest,0,0,0,0,1,1,,Day of Outrage,,https://www.insidernj.com/press-release/pro-life-new-jerseyans-organize-second-day-outrage-protest-radical-new-abortion-legislation/,https://www.tapinto.net/towns/soma/articles/pro-lifers-protest-in-front-of-assemblywoman-mila-jasey-s-maplewood-office,,,,,,,,,,,,,,,,,
Matawan,Lloyd Road Elementary School,,NJ,US,2020-12-02,count pic,10,,10,,,parents,against shutdown of in-person schooling due to coronavirus surge,0,protest,0,0,0,0,1,1,,,,https://www.app.com/story/news/education/2020/12/04/matawan-aberdeen-school-closures/3807229001/,,,,,,,,,,,,,,,,,,
Morehead City,Southern Salt,,NC,US,2020-12-02,at least 100,100,,100,,,Women for America First,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,March for Trump Bus Tour,,https://trumpmarch.com/?fbclid=IwAR0mErtG_V5M0UlzUAyT_oNCVzmEGGdTGKsW-PsksnBVgdVygPuwF4B17SM,https://www.carolinacoastonline.com/news_times/article_2c361638-34e2-11eb-af51-db215a451965.html,https://youtube.com/FK8wmSAj9XU,,,,,,,,,,,,,,,,
New Rochelle,Montefiore New Rochelle Hospital,,NY,US,2020-12-02,,,,,,,New York State Nurses Association,for safer working conditions and higher pay and benefits for nurses during coronavirus pandemic,0,strike,0,0,0,0,1,1,,,,https://labornotes.org/blogs/2020/12/nurses-over-billboards-two-day-strike-hits-site-new-yorks-first-covid-outbreak,https://larchmontloop.com/montefiore-new-rochelle-nurses-strike-updated/,,,,,,,,,,,,,,,,,
New York,"212 5th Ave, Manhattan",,NY,US,2020-12-02,count video,20,,30,,,Make the Road New York; Alliance for a Greater New York,"against Amazon, against Jeff Bezos, for safer workplaces and higher pay for Amazon workers during coronavirus pandemic, in support of NY HERO Act",0,rally,0,0,0,0,0,1,,Rally to Protect Amazon Workers,,https://twitter.com/protest_nyc/status/1334191531452985347,https://twitter.com/ALIGNny/status/1334213441054191616,https://twitter.com/datainput/status/1334226785261809673,https://www.amny.com/news/protest-at-amazons-ceo-focuses-on-worker-safety-and-health/,https://www.foxbusiness.com/lifestyle/amazon-workers-coronavirus-protections,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-12-02,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,1,1,,,,https://www.instagram.com/p/CITZbQwFxiy/,,,,,,,,,,,,,,,,,,
New York,"Mac's Public House, Staten Island",,NY,US,2020-12-02,hundreds; about 400,200,,400,,,general protesters,"against state restrictions on businesses due to coronavirus pandemic, against arrest of bar owner, against Governor Cuomo",2,protest,0,0,0,0,1,1,,,,https://www.ny1.com/nyc/all-boroughs/coronavirus/2020/12/03/supporters-protest-closure-of-staten-island-bar-that-defied-covid-19-restrictions,https://nypost.com/2020/12/03/proud-boys-join-protest-at-si-bar-flouting-covid-19-rules/,https://www.republicworld.com/world-news/us-news/protest-outside-nyc-bar-after-owner-arrested.html,https://newyork.cbslocal.com/2020/12/02/staten-island-bar-owner-arrested/,https://gothamist.com/food/battle-protesters-proud-boys-and-elected-officials-rally-against-public-health-measures-outside-staten-island-bar,https://www.washingtonpost.com/nation/2020/12/03/macs-staten-island-bar-covid-cuomo/,https://www.silive.com/news/2020/12/protests-at-macs-public-house.html,https://www.nbcnews.com/news/us-news/live-blog/2020-12-3-covid-live-updates-n1249809/ncrd1249951#blogHeader,https://www.wtkr.com/news/national/coronavirus/supporters-rally-for-shuttered-new-york-bar-that-had-been-blatantly-flouting-covid-19-restrictions,https://www.10news.com/news/national/coronavirus/supporters-rally-for-shuttered-new-york-bar-that-had-been-blatantly-flouting-covid-19-restrictions,https://www.nydailynews.com/news/ny-staten-island-protest-closing-macs-public-house-covid-20201203-c24usiha4vagrlallvjvl5mszu-photogallery.html,https://www.cbsnews.com/news/macs-public-house-protesters-bar-owner-who-defied-covid-rules-indoor-dining/,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-12-02,,,,,,,general protesters,"against racism, against police violence",1,gathering,,,,,0,1,,,,https://twitter.com/protest_nyc/status/1334191531452985347,,,,,,,,,,,,,,,,,,
Nogales,,,AZ,US,2020-12-02,nearly 80,80,,80,,,general protesters,for resuming asylum hearings for migrants attempting to enter the United States,1,demonstration,0,0,0,0,1,1,,,,https://havanatimes.org/news/asylum-seekers-protest-on-us-mexico-border/,,,,,,,,,,,,,,,,,,
Northfield,"office of Assemblyman Vincent Mazzeo, 2312 New Rd",,NJ,US,2020-12-02,,,,,,,LIFENET; New Jersey Right to Life; BlackGenocide.org; Family Policy Alliance of New Jersey; Garden State Families,"against abortion, against Reproductive Freedom Act",2,protest,,,,,1,1,,Day of Outrage,,https://www.insidernj.com/press-release/pro-life-new-jerseyans-organize-second-day-outrage-protest-radical-new-abortion-legislation/,,,,,,,,,,,,,,,,,,
