CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Exton,Chester County Library,Chester,PA,US,2019-09-08,about 60 demonstrators,60,,60,,,general protesters,Protesting pipeline construction,0,Protest; rally,0,0,0,0,1,1,https://www.dailylocal.com/news/local/protesters-rally-march-along-pipeline-route/article_6b8975ee-d329-11e9-aeee-07a5ed26efec.html,,,,,,
Harrisburg,Dauphin County Prison,Dauphin,PA,US,2019-09-08,,,,,,,general protesters,Against wrongful punishment ,0,Protest,0,0,0,0,1,1,https://www.pennlive.com/news/2019/09/dauphin-county-prison-reform-supporter-arrested-prompting-protest-sister.html,,,,,,
Honolulu,H-1 Highway ,Honolulu,HI,US,2019-09-08,,,,,,,Hawaiians ,Against construction of Thirty Meter Telescope ,0,Protest,0,0,0,0,1,1,https://www.westhawaiitoday.com/2019/09/09/hawaii-news/tmt-opponents-go-mobile-with-protest-along-oahu-roadways/,,,,,,
La Marque,Walter Feigle Park,Galveston,TX,US,2019-09-08,about 50,50,,50,,,Stop the Violence 409; general protesters,Against gun violence,0,Rally,0,0,0,0,1,1,https://www.galvnews.com/article_34241361-57b4-5c18-a0d2-f29488e98cd2.html,,,,,,
Richfield,Interstate 494,Hennepin,MN,US,2019-09-08,,,,,,,general protesters,Against gun violence,0,Vigil; march,0,0,0,0,1,1,http://www.fightbacknews.org/2019/9/9/i-494-shut-down-protest-police-killing-brian-j-quinones,,,,,,
South Whidbey,Clinton Beach Park,Island,WA,US,2019-09-08,,,,,,,Indivisble Project,Against immigration policies of the current administration,1,March,0,0,0,0,1,1,http://www.southwhidbeyrecord.com/life/whidbey-island-indivisible-group-joins-banner-march-protesting-immigration-policy/,,,,,,
Troy,Intersection infront of Rensselaer County Jairl,Renssaler,NY,US,2019-09-08,about 200 people,200,,200,,,"""Never Again"" Organization",Against ICE policies towards immigrants,1,Protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/ICE-protest-briefly-blocks-Rensselaer-County-Jail-14423322.php,,,,,,
Albany,Education Department Building,Albany,NY,US,2019-09-09,several hundred,300,,300,,,general protesters,Against vaccines,0,rally,0,0,0,0,1,1,https://www.lohud.com/story/news/2019/09/09/new-york-parents-opposed-vaccinations-send-kids-school/2263308001/,,,,,,
Atlanta,QuikTrip on Howell Mill Rd,Fulton,GA,US,2019-09-09,NA,2,,2,,,general protesters,Safety; Against crime,0,protest,0,0,0,0,1,1,https://www.11alive.com/article/news/crime/gas-station-rally-maserati-stolen/85-5be1ce02-7fa7-442a-bfd0-7b94fde8cf67,,,,,,
Burlington,Senator Patrick Leahy's Office,Chittenden,VT,US,2019-09-09,count vid,3,,3,,,general protesters,Safety; Against hazardous conditions,0,sit-in; protest,0,0,0,0,1,1,https://www.wcax.com/content/news/F-35-opponents-again-protest-at-Leahys-office-559969741.html,,,,,,
Central Falls,Wyatt Detention Center,Providence,RI,US,2019-09-09,,,,,,,general protesters,For compassionate immigration,0,protest,0,0,0,0,1,1,https://www.wpri.com/news/local-news/blackstone-valley/anti-ice-activists-to-protest-wyatte-facility-again/,,,,,,
Clearwater,Ream Wilson Trail; McMullen Booth Road,Pinellas,FL,US,2019-09-09,count pic,9,,9,,,St. Petersburg Moms Demand; Indivisible Tampa Bay,against gun violence; pro-gun reform,1,protest,,,,,1,1,https://twitter.com/Moore_Kelly_M/status/1171181482729246720,,,,,,
Colrain,North River Bridge,Franklin,MA,US,2019-09-09,about 15,15,,15,,,general protesters,Environment; Against hazardous conditions; for wilderness preservation,0,protest,0,0,0,0,1,1,https://www.recorder.com/15-protest-sulphuric-acid-leak-in-North-River-28357964,,,,,,
Fayetteville,Crown Expo Center,Cumberland,NC,US,2019-09-09,,,,,,,general protesters,"for Republican candidates for U.S. Congress, for President Trump",2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/trump-rally-fayettville-maga-2020-campaign-crown-expo-center-live-stream-updates-2019-09-09/,https://apnews.com/article/election-2020-nc-state-wire-donald-trump-north-carolina-ap-top-news-743fe7db77c543c498e33df29f6c53ae,https://www.elonnewsnetwork.com/article/2019/09/trump-rally-fayetteville-nc,feat. President Trump,,,
Fayetteville,Crown Expo Center,Cumberland,NC,US,2019-09-09,NA,8,,8,,,general protesters,Executive; Against president,1,protest,0,0,0,0,1,1,https://www.fayobserver.com/news/20190909/protesters-chant-lock-him-up-before-trump-rally-in-fayetteville,,,,,,
Kahului,Kahului Airport,Maui,HI,US,2019-09-09,NA,200,,200,,,Against development; For cultural preservation,,0,protest,0,0,0,0,1,1,https://mauinow.com/2019/09/09/protest-convoy-on-maui-planned-from-lahaina-to-kahului-airport-at-1-p-m/,https://www.mauinews.com/news/local-news/2019/09/mauna-kea-protest-convoy-treks-from-lahaina-to-kahului-airport/,,,,,
Menominee,10th Ave and 10th Street,Dunn,MI,US,2019-09-09,count pic,6,,6,,,general protesters,For library funding; against budget cuts,0,protest,0,0,0,0,1,1,https://www.uppermichiganssource.com/content/news/Menominee--559869851.html,,,,,,
Mountain Home,Veterans Memorial Plaza,Baxter,AR,US,2019-09-09,NA,1,,1,,,general protesters,Other; for recognition,0,protest; hunger-strike,0,0,0,0,1,1,https://www.baxterbulletin.com/story/news/local/2019/09/10/vet-vows-protest-until-die/2274785001/,,,,,,
New Orleans,ICE Offices,Orleans Parish,LA,US,2019-09-09,dozens,24,,24,,,Congress of Day Laborers in New Orleans,For compassionate immigration,1,protest,0,0,0,0,1,1,https://apnews.com/5317636d38954405b075874d68aa9a90,,,,,,
New York,Baruch College,New York,NY,US,2019-09-09,,,,,,,32BJ SEIU,For worker rights,0,rally,0,0,0,0,1,1,https://www.nydailynews.com/news/politics/ny-20190908-vrmxgrldvrarbevoo6cj3efmfu-story.html,,,,,,
Providence ,State House,Providence,RI,US,2019-09-09,about 20,20,,20,,,Sunrise,Environmental; against climate change,0,protest; sit-in,0,0,0,0,1,1,https://www.providencejournal.com/news/20190909/climate-activists-rally-in-providence-for-green-new-deal,,,,,,
Reading,Berks County Services Center,Berks,PA,US,2019-09-09,about 30,30,,30,,,Berks-Reading United Labor Council; Lehigh Valley Labor Council; PA Democrats,Collective bargaining; for worker rights,0,rally,0,0,0,0,1,1,https://www.readingeagle.com/news/article/rally-held-in-reading-to-support-creating-osha-style-health-and-safety-regulations-for-public-workers-in-pennsylvania,,,,,,
Richmond ,Dominion Energy,Richmond,VA,US,2019-09-09,,,,,,,Dominion Energy customers,Against increased utility prices,0,rally,0,0,0,0,1,1,https://wset.com/news/local/dominion-energy-customers-host-rally-over-refund-of-nearly-400-million-denied,,,,,,
Sacramento,Capitol,Sacramento,CA,US,2019-09-09,,,,,,,Uber and Lyft drivers,Collective Bargaining; For worker rights,0,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/politics/2019/09/09/drivers-share-their-stories-on-why-ab-5-is-so-controversial/2268244001/,,,,,,
Sacramento,Capitol,Sacramento,CA,US,2019-09-09,,,,,,,Uber and Lyft drivers,Against regulation,0,protest,0,0,0,0,1,1,https://www.usatoday.com/story/news/politics/2019/09/09/drivers-share-their-stories-on-why-ab-5-is-so-controversial/2268244001/,,,,,,
Sacramento,,Sacramento,CA,US,2019-09-09,,,,,,,general protesters,For vaccines,0,protest,,,,,1,1,https://www.nhregister.com/news/article/California-Assembly-approves-vaccine-bill-sought-14425946.php,DEAD LINK,,,,,
Sacramento,,Sacramento,CA,US,2019-09-09,,,,,,,general protesters,Against vaccines,0,protest,,,,,1,1,https://www.nhregister.com/news/article/California-Assembly-approves-vaccine-bill-sought-14425946.php,DEAD LINK,,,,,
Vancouver,Waterfront Park,Clark,WA,US,2019-09-09,about 20,20,,20,,,Indivisible Greater Vancouver,For compassionate immigration,1,protest,0,0,0,0,1,1,https://www.columbian.com/news/2019/sep/09/vancouver-demonstration-cut-budgets-of-ice-customs/,,,,,,
Wilkes-Barre,Luzurne County Children and Youth Offices,Luzurne,PA,US,2019-09-09,,,,,,,Crowd Pow Wow Proud,Healtcare; for medical marijuana use,0,rally,0,0,0,0,1,1,https://www.timesleader.com/news/755266/luzerne-county-children-and-youth-head-comments-on-protest,,,,,,
Allentown,Government Center,Lehigh,PA,US,2019-09-10,count pic,10,,10,,,Raise the Wage PA,For higher minimum wage; Other,0,rally,0,0,0,0,1,1,https://www.mcall.com/business/mc-biz-minimum-wage-rally-20190910-ncube43czzgh3ep6ptuh7jup5i-story.html,,,,,,
Chesterfield,Chesterfield School Board,Saint Louis,VA,US,2019-09-10,about 30,30,,30,,,general protesters,Education; Against hazardous conditions,0,Rally,0,0,0,0,1,1,https://www.richmond.com/news/local/education/chesterfield/chesterfield-parents-rally-outside-school-board-meeting-to-protest-legionella/article_7269af8e-8bdf-57fd-abda-b1d9657be79a.html,,,,,,
Chula Vista,Chula Vista City Hall,San Diego,CA,US,2019-09-10,,,,,,,general protesters,Civil Rights; Anti-LGBTQ,0,protest,0,0,0,0,1,1,https://www.10news.com/news/south-bay-news/despite-urging-from-faith-leaders-chula-vista-drag-queen-story-time-still-happening,,,,,,
Columbus,Ohio Supreme Court,Franklin,OH,US,2019-09-10,count vid,6,,6,,,Ohio Professional Bail Bond Association,Other; Against criminal justice reform,0,protest,0,0,0,0,1,1,https://www.nbc4i.com/news/local-news/proposed-bail-reforms-come-under-fire-at-state-supreme-court-demonstration/,,,,,,
East Meadow,Nassau University Medical Center,Nassau,NY,US,2019-09-10,dozens,24,,24,,,general protesters,Other; Against vaccines,0,protest; rally,0,0,0,0,1,1,http://longisland.news12.com/story/41028868/parents-opposed-to-vaccine-law-rally-at-nassau-university-medical-center,,,,,,
Juneau,State Capitol,Juneau,AK,US,2019-09-10,count pic ,38,,38,,,general protesters ,Against climate change; Environment,0,rally,0,0,0,0,1,1,https://www.juneauempire.com/news/empire-live-climate-change-rally-at-the-capitol-aims-for-international-audience/,,,,,,
Kansas City,83rd Terrace,Platte,MO,US,2019-09-10,count vid,4,,4,,,Barlett family,Other; For continued investigation,0,Rally,0,0,0,0,1,1,https://fox4kc.com/2019/09/12/still-waiting-for-an-arrest-family-of-kc-8-year-old-boy-shot-and-killed-rallies-for-justice/,,,,,,
