CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Birmingham,Kelly Ingram Park,Jefferson,AL,US,2020-01-04,FB: 26,26,,26,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/s/emergency-speak-out-no-us-war-/462496234391002/,,,,
Bloomington,Courthouse Square,Monroe,IN,US,2020-01-04,,,,,,,Bloomington Peace Action Coalition,against war with Iran,1,protest,0,0,0,0,1,1,https://www.hoosiertimes.com/herald_times_online/news/local/peace-rally-to-be-held-noon-saturday/article_a4624048-2e51-11ea-840a-b733ce83efd2.html,,,,
Boise,City Hall,Ada,ID,US,2020-01-04,FB: 56,56,,56,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1054589501547631/,https://www.idahopress.com/news/local/small-group-of-protesters-counter-protesters-spar-on-iranian-general/article_9e5c4ca1-49cb-56c8-9cfa-ddaa0d968b30.html,,,
Boise,City Hall,Ada,ID,US,2020-01-04,,,,,,,MAGA Girl,for President Trump,2,counter-protest,0,0,0,0,0,1,https://www.idahopress.com/news/local/small-group-of-protesters-counter-protesters-spar-on-iranian-general/article_9e5c4ca1-49cb-56c8-9cfa-ddaa0d968b30.html,,,,
Boston,Park Street,Suffolk,MA,US,2020-01-04,hundreds; 300,200,,300,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/LeisersonErin/status/1213536658685071362,https://twitter.com/WEATHERISHAPPEN/status/1213538530040799232,https://twitter.com/masspeaceaction/status/1213551512246468616,,
Boulder,Broadway and Canyon,Boulder,CO,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Brooklyn ,Brooklyn Bridge; Cadman Plaza  ,Brooklyn ,NY,US,2020-01-04,thousands ,2000,,2000,,,general protestors,"against antisemitism, in support of Jewish community",0,march,0,0,0,0,1,1,https://www.pix11.com/news/local-news/manhattan/watch-live-thousands-march-brooklyn-bridge-support-jewish-community-no-hate-no-fear-march-solidarity,,,,
Buffalo,Elmwood Avenue,,NY,US,2020-01-04,dozens,24,,24,,,Western New York Peace Center; Women in Black,against war with Iran,1,protest,0,0,0,0,1,1,https://www.wivb.com/news/local-news/dozens-rally-for-peace-in-buffalo/,,,,
Burlington,Federal Building,Chittenden,VT,US,2020-01-04,FB: 76; over 100,76,,100,,,Peace & Justice Center,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/466517847385155/,https://www.wcax.com/content/news/Protesters-rally-in-Burlington-against-US-airstrike--566724291.html,,,
Carbondale,Town Square,Jackson,IL,US,2020-01-04,,,,,,,PeaceCoalition Southern Illinois,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/478001676193248/,,,,
Chicago,Trump Tower; Lake Shore Drive,Cook,IL,US,2020-01-04,hundreds; about 200,200,,200,,,general protestors,against war with Iran,1,protest,2,,,,1,1,https://twitter.com/morethanmySLE/status/1213541535754657793,https://twitter.com/jujueyeball/status/1213541420818223105,https://twitter.com/aaroncynic/status/1213536826033680386,https://twitter.com/aaroncynic/status/1213561045068980239; https://www.usatoday.com/story/news/nation/2020/01/04/iraq-iran-tensions-protests-condemn-u-s-actions-middle-east/2807176001/,
