CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,AdHoc,CountLove,Source1,Source2,Source3,Misc.,TearGas,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,Source16,Source17
Chicago,outside residence of University of Chicago Provost Ka Yee Lee,,IL,US,2020-09-02,at least three dozen,36,,36,,,#CareNotCops,"for disbanding University of Chicago police, against racism, for creation of ethnic studies department",1,occupation,0,0,0,0,1,1,,1,1,https://www.chicagomaroon.com/article/2020/9/2/carenotcops-stage-multi-day-occupation-outside-pro/,https://www.thecollegefix.com/anti-police-u-chicago-activists-allegedly-target-provost-with-anti-asian-graffiti/,https://chicago.suntimes.com/news/2020/9/2/21419125/u-of-chicago-students-protest-police-department-defund,,0,,,,,,,,,,,,,,
Coeur d'Alene,Ramsey Softball Fields,,ID,US,2020-09-02,,,,,,,general protesters,"against child sex trafficking, save our children",0,rally,,,,,1,1,,1,,https://allevents.in/coeur%20d%20alene/saveourchildren-rally/200020038313530,,,,,,,,,,,,,,,,,,
Columbia,Missouri Athletics Training Complex,,MO,US,2020-09-02,,,,,,,student-athletes,against racism,1,march,,,,,1,1,,,1,https://www.newstribune.com/news/missouri/story/2020/sep/01/missouri-athletes-organizing-social-justice-march-campus/839756/,,,,0,,,,,,,,,,,,,,
Detroit,Detroit Public Safety Headquarters,,MI,US,2020-09-02,,,,,,,Detroit Will Breathe,"against racism, against police brutality, for defunding police, for police reform, for carceral reform, against criminalization of homelessness, for immigrants' rights, for disabled peoples' rights, for moratorium on evictions and foreclosures and against utility shutoffs during coronavirus pandemic",1,march,0,0,0,0,1,1,,1,,https://detroitwillbreathe.info/events.html,,,,,,,,,,,,,,,,,,
Dubuque,Allison Henderson Park,,IA,US,2020-09-02,FB: 72,72,,72,,,Switching Places Foundation,"against racism, against police violence",1,rally,,,,,1,1,,1,,https://www.facebook.com/events/916755522068019/,,,,,,,,,,,,,,,,,,
Iowa City,University of Iowa,,IA,US,2020-09-02,hundreds,200,,200,,,faculty members,against school's decision to continue in-person learning during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,1,https://www.kcci.com/article/university-of-iowa-faculty-hold-sick-out-to-protest-in-person-classes/33903971,https://www.kimt.com/content/news/Hundreds-of-University-of-Iowa-students-and-faculty-protest-in-person-classes-572299571.html,,,0,,,,,,,,,,,,,,
Jamestown,,,NC,US,2020-09-02,,,,,,,residents,against planned mixed-use development,0,protest,0,0,0,0,1,1,,,1,https://myfox8.com/news/keep-jamestown-jamestown-signs-flood-the-town-in-protest-of-development-project/,,,,0,,,,,,,,,,,,,,
Kansas City,Berkley Riverfront,,MO,US,2020-09-02,,,,,,,Recall Quinton Lucas,"for recalling Mayor Quinton Lucas, against business closures and other city mandates in response to coronavirus pandemic",2,protest,0,0,0,0,1,1,,,1,https://www.kctv5.com/coronavirus/wednesday-evening-rally-calls-for-kc-mayor-quinton-lucas-recall/article_4c76bde4-ed70-11ea-894d-43f59c728a75.html,,,,0,,,,,,,,,,,,,,
Los Angeles,Hall of Justice,,CA,US,2020-09-02,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,,1,,https://knock-la.com/jackie-lacey-did-go-but-the-fight-is-just-beginning-9efbd25b0668/,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,,,,,,,,,,,,
Lowell,Lowell City Hall,,MA,US,2020-09-02,approximately 150,150,,150,,,"teachers, staff, parents, students","against reopening schools during coronavirus pandemic, for safe workplaces for teachers and staff",0,protest,0,0,0,0,1,1,,,1,https://www.lowellsun.com/2020/09/02/lowell-teachers-protest-urging-only-opening-schools-when-safe/,,,,,,,,,,,,,,,,,,
