CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Oakdale,FCI Oakdale,,LA,US,2020-04-08,,,,,,,prisoners,for better protections against COVID-19 in prison,0,ruckus,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/08/uprising-at-fci-oakdale-i-louisiana-following-multiple-covid-19-deaths/,,,,
Salem,General Electric,Roanoke,VA,US,2020-04-08,count video,9,,11,,,GE workers,for increased workplace safety and making more ventilators during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://wset.com/news/coronavirus/hey-we-can-make-ventilators-signs-held-at-salem-ge-protest,https://www.wsls.com/video/news/2020/04/08/protest-at-salem-ge-factory/,https://www.dallasnews.com/business/jobs/2020/04/08/hey-ge-we-can-make-ventilators-workers-protest-in-dallas-to-gain-work-increase-safety/,,
San Diego,George F. Bailey Detention Facility,,CA,US,2020-04-08,,,,,,,inmates,for better protections against COVID-19 in prison,0,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/watchdog/story/2020-04-15/inmates-in-jail-photo-placed-into-isolation-relatives-say?_amp=true,,,,
Schenectady,General Electric,Schenectady ,NY,US,2020-04-08,count video,11,,12,,,GE workers,for increased workplace safety and making more ventilators during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.news10.com/news/schenectady-general-electric-workers-join-national-protests/,https://www.dallasnews.com/business/jobs/2020/04/08/hey-ge-we-can-make-ventilators-workers-protest-in-dallas-to-gain-work-increase-safety/,https://www.usatoday.com/story/money/2020/04/08/covid-19-ge-workers-stage-protests-demanding-make-ventilators/2973582001/,,
Allentown,Cedarbrook Nursing Home,Lehigh ,PA,US,2020-04-09,,,,,,,healthcare workers; SEIU Healthcare Pennsylvania,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,0,1,https://www.lehighvalleylive.com/coronavirus/2020/04/healthcare-workers-to-rally-for-coronavirus-gear-at-area-hospitals.html,,,part of nationwide #GetmePPE movement,
Allentown,Phoebe Home,Lehigh ,PA,US,2020-04-09,,,,,,,healthcare workers; SEIU Healthcare Pennsylvania,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.lehighvalleylive.com/coronavirus/2020/04/healthcare-workers-to-rally-for-coronavirus-gear-at-area-hospitals.html,,,part of nationwide #GetmePPE movement,
Bakersfield,Mesa Verde ICE Processing Facility,,CA,US,2020-04-09,more than 100,100,,100,,,detainees,for better protections against COVID-19 in ICE detention center,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/09/over-100-detainees-at-mesa-verde-ice-facility-stage-hunger-strike-over-covid-19/,https://www.bakersfield.com/news/100-immigrant-detainees-hold-hunger-strike-at-mesa-verde-in-response-to-covid-19-measures/article_4bc2c88e-7b88-11ea-bf82-c3fcec598e57.html,,,
Bangor,Slate Belt Health and Rehab,Northampton,PA,US,2020-04-09,,,,,,,healthcare workers; SEIU Healthcare Pennsylvania,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,0,1,https://www.lehighvalleylive.com/coronavirus/2020/04/healthcare-workers-to-rally-for-coronavirus-gear-at-area-hospitals.html,,,part of nationwide #GetmePPE movement,
Casper,Pioneer Park,Natrona,WY,US,2020-04-09,about 20,20,,20,,,Natrona County Campaign for Liberty,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,https://trib.com/news/local/casper/demonstrators-gather-in-casper-park-to-protest-government-overreach/article_1439586c-0a83-5f21-b3f8-c7bf7d8bd012.html,,,,
Casper,Pioneer Park,Natrona,WY,US,2020-04-09,,,,,,,general protestors,support COVID-19 stay-at-home measures,1,counter protest,0,0,0,0,0,1,https://trib.com/news/local/casper/demonstrators-gather-in-casper-park-to-protest-government-overreach/article_1439586c-0a83-5f21-b3f8-c7bf7d8bd012.html,,,,
Columbus,Ohio Statehouse,Franklin,OH,US,2020-04-09,about 70; about 75,70,,75,,,general protestors,"protest stay-at-home measures due to Covid-19, for freedom, for patriotism",2,protest,0,0,0,0,1,1,https://www.clevescene.com/scene-and-heard/archives/2020/04/14/were-not-afraid-of-any-virus-crowds-gathered-outside-of-ohio-statehouse-protesting-coronavirus-shutdowns,https://www.limaohio.com/news/406543/lawmakers-protesters-urge-ohio-to-reopen,https://www.nbcnews.com/tech/security/trump-s-liberate-tweets-extremists-see-call-arms-n1186561,,
Columbus,Statehouse,Cuyahoga,OH,US,2020-04-09,about 100,100,,100,,,general protestors,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,https://www.wtol.com/article/news/health/coronavirus/ohio-coronavirus-protest/512-de780aa3-9795-4714-a72c-8c39bde581a3,,,,
Dunmore,Dunmore Health Care Center,Lackawanna,PA,US,2020-04-09,,,,,,,Service Employee International Union,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,0,1,https://www.citizensvoice.com/news/getmeppe-protests-planned-today-at-local-facilities-1.2616305,,,part of nationwide #GetmePPE movement,
East Stroudsburg ,Hospital Pocono,Monroe,PA,US,2020-04-09,,,,,,,healthcare workers; SEIU Healthcare Pennsylvania,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.lehighvalleylive.com/coronavirus/2020/04/healthcare-workers-to-rally-for-coronavirus-gear-at-area-hospitals.html,,,part of nationwide #GetmePPE movement,
