CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
San Jose,San Jose State University,Santa Clara,CA,US,2018-12-06,,,,,,,students,protest homelessness among students,0,protest,0,0,0,0,1,1,https://www.kron4.com/news/bay-area/san-jose-state-university-students-protest-homeless-crisis-on-campus/1645262115,,,13th annual Poverty Under The Stars
New Brunswick,Rutgers University’s Board of Governors meeting,Middlesex,NJ,US,2018-12-06,at least a hundred,100,,100,,,Rutgers' American Association of University Professors and American Federation of Teachers (AAUP-AFT) faculty union,picket for faculty pay equity,0,protest,0,0,0,0,1,1,http://www.dailytargum.com/article/2018/12/teachers-union-plans-protest-for-board-of-governors-meeting-on-thursday,https://www.mycentraljersey.com/story/news/2018/12/06/rutgers-faculty-protests-seeking-new-contract-disrupt-board-meeting/2227985002/,,
Philadelphia,Temple University,Philadelphia,PA,US,2018-12-06,about 60,60,,60,,,Temple University students,"marching in support for Prof. Lamont Hill, pro-palestine",0,protest; march,0,0,0,0,1,1,https://www.inquirer.com/news/temple-zionism-education-protest-palestinian-israle-20181207.html,,,
La Quinta,Desert Sands Unified School District,Riverside,CA,US,2018-12-06,more than 200,200,,200,,,parents of students at Desert Sands Unified,protesting changes in sex ed curriculum,0,protest,0,0,0,0,1,1,https://www.desertsun.com/story/news/education/2018/12/06/parents-protest-new-state-mandated-sex-ed-curriculum/2236231002/,,,
Boston,city hall,Suffolk,MA,US,2018-12-06,,,,,,,"Graduate Women at the Massachusetts Institute of Technology, Our Harvard Can Do Better ",protesting DeVos's Title IX amendments,1,protest,0,0,0,0,1,1,https://dailyfreepress.com/blog/2018/12/06/female-graduate-students-protest-devos-title-ix-amendments-at-boston-city-hall/,,,
Chapel Hill ,UNC,Orange,NC,US,2018-12-07,nearly 80,80,,80,,,UNC teaching assistances,protesting construction of building to house Confederate monument; grade-strike,1,grade-strike,0,0,0,0,1,1,https://www.insidehighered.com/news/2018/12/07/unc-teaching-assistants-go-strike-over-confederate-monument?utm_content=buffer70807&utm_medium=social&utm_source=twitter&utm_campaign=IHEbuffer,,,ongoing
Montgomery,Virginia College’s Montgomery campus,Montgomery,AL,US,2018-12-07,,,,,,,students,protest campus closure,0,protest; march,,,,,1,1,https://www.wsfa.com/2018/12/07/virginia-college-students-preparing-protest-sue-after-sudden-closing/,,,
New Haven,Yale Investments Office,New Haven,CT,US,2018-12-07,more than 350 outside + 48 arrested,398,,398,,,a coalition of community and student groups,protesting Yale University's investments in Puerto Rican debt and in fossil fuel companies,1,protest,48,0,0,0,1,1,https://www.courant.com/politics/hc-pol-yale-students-arrested-20181207-story.html,,,
Philadeplhia,at Temple’s Lenfest Circle,Philadelphia,PA,US,2018-12-07,about 25,25,,25,,,Zionist Organization of America,opposition of rally supporting Marc Lamont Hill a professor at Temple,0,protest,0,0,0,0,1,1,http://jewishexponent.com/2018/12/07/rally-counter-protest-face-off-over-marc-lamont-hill-at-temple/,,,
Corvallis,Benton County Courthouse,Benton,OR,US,2018-12-07,around two dozen,24,,24,,,students at Corvallis high school,protesting gun violence,0,protest,0,0,0,0,1,1,https://www.gazettetimes.com/news/local/corvallis-students-protest-in-wake-of-chs-threat/article_b4ea1618-aec4-548c-bf1e-f0085ff3b83e.html,,,
Los Angeles,USC,Los Angeles,CA,US,2018-12-07,about 150,150,,150,,,"students, professors and alumni",protesting removal of dean,0,protest;rally,0,0,0,0,1,1,https://www.latimes.com/local/lanow/la-me-ln-usc-dean-rally-20181207-story.html,,,
Wilton,Quaker Religious Society of Friends,Fairfield,CT,US,2018-12-08,,,,,,,Wilton Quaker Meeting and Democracy for Connecticut,vigil for Sandy Hook victims; against gun violence,0,vigil,,,,,1,1,https://www.facebook.com/events/1186985741441984/,,,
El Monte,El Monte High School Auditorium,Los Angeles,CA,US,2018-12-08,approximately 200,200,,200,,,general protestors,protesting a proposed marijuana-growing facility,0,protest,0,0,0,0,1,1,https://www.sgvtribune.com/2018/12/08/protesters-rally-against-proposed-marijuana-facility-in-el-monte/,,,
Spokane,City Hall,Spokane,WA,US,2018-12-08,about a dozen,12,,12,,,general protestors,"protest the removal of Camp Hope, a tent city for the homeless",0,protest,0,0,0,0,1,1,http://www.spokesman.com/stories/2018/dec/08/kate-burke-protestors-chain-themselves-to-city-hal/,,,
Mission,Bentsen-Rio Grande Valley State Park,Hidalgo,TX,US,2018-12-08,about 50,50,,50,,,"Lower Rio Grande Valley Sierra Club, University of Texas Rio Grande Valley Environmental Awareness Club, the Texas Civil Rights Project, Friends of the Wildlife Corridor",protesting construction of border wall (environmental impact),0,protest,0,0,0,0,1,1,https://www.themonitor.com/2018/12/09/protecting-park-environmental-allies-camp-bentsen-protest-border-wall/,,,
Fredon,Whittingham Wildlife Management Area bear check-in station,Sussex,NJ,US,2018-12-08,more than 50,50,,50,,,general protestors,protesting annual bear hunt,0,protest,0,0,0,0,1,1,https://www.njherald.com/20181209/bear-hunt-protesters-criticize-murphy,,,
Madison ,steps of the state Capitol ,Dane,WI,US,2018-12-08,,,,,,,general protestors,protesting bills passed during lame-duck session,0,rally;protest,0,0,0,0,1,1,https://www.channel3000.com/news/in-light-of-lame-duck-session-demonstrators-hold-respect-our-vote-rally-at-capitol/919748963,,,
Baton Rouge,State Capitol,East Baton Rouge,LA,US,2018-12-09,,,,,,,general protestors,protesting anti-abortion bill,1,protest,,,,,1,1,https://twitter.com/StormyDaniels/status/1071793919229353985,,,
Baton Rouge,outside State Capitol,East Baton Rouge,LA,US,2018-12-09,more than 50,50,,50,,,general protestors,protesting law to raise age requirement for dancers in Louisiana strip clubs,0,protest,0,0,0,0,1,1,https://www.theadvocate.com/baton_rouge/news/article_2ebc6af0-fbe7-11e8-8e15-6ba395ffc7c6.html,,,
Lewiston,Port of Lewiston; Southway Boat Ramp,Nez Perce,ID,US,2018-12-09,,,,,,,Clearwater chapter of the Idaho River Community Alliance,oppose fishing restrictions,0,protest,,,,,1,1,http://www.spokesman.com/stories/2018/dec/05/gatherings-set-to-protest-steelhead-season-closure/,,,protest preceded by parade of trailered boats
