CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Dayton,Courthouse Square,OH,US,2017-04-22,na,1200,1335,1500,1320,1350,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.mydaytondailynews.com/news/local/demonstrators-march-for-science-earth-day-downtown-dayton/fHWTSofZEipwLp4lLwxJaJ/,,,,
Decorah,from Mary Christopher Park to the Winneshiek County Courthouse,IA,US,2017-04-22,nearly 200,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.kwwl.com/story/35217932/2017/04/22/earth-day-march,,,,
Delaware,Hamilton-Williams Campus Center to City Hall; Ohio Wesleyan University,OH,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,https://www.facebook.com/events/1891154444441243/,,,,
Denton,,TX,US,2017-04-22,na,400,400,400,440,360,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.greensourcedfw.org/articles/north-texas-science-marchers-do-their-research-clever-signs,,,,
Denver,Civic Center,CO,US,2017-04-22,upwards of 15000,15000,17250,20000,16500,18000,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://denver.cbslocal.com/2017/04/22/march-for-science-future-of-our-earth-is-at-stake/,,https://twitter.com/ScienceMarchDEN/status/855974773440094208,,
Des Moines,State Capitol,IA,US,2017-04-22,na,3000,3000,3000,3300,2700,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.desmoinesregister.com/story/life/2017/04/22/demonstrators-gather-iowa-capitol-march-science/305995001/,http://www.iowastatedaily.com/news/academics/article_581e23ec-2840-11e7-aba8-b3d5fe7e3285.html,,,
Detroit,Hart Plaza then started walking on Woodward in downtown Detroit,MI,US,2017-04-22,about 3000,3000,3000,3000,3300,2700,general protestors,March for Science,1,march; rally,,,,,1,1,http://www.freep.com/story/news/local/michigan/detroit/2017/04/22/march-science-detroit/100782888/,,,,
Dillingham,,AK,US,2017-04-22,exactly 100,100,100,100,110,90,general protestors,March for Science,1,march,0,0,0,0,1,1,http://kdlg.org/post/dillingham-marches-science-slideshow#stream/0,,,,
Doylestown,Court St,PA,US,2017-04-22,hundreds,200,200,200,220,180,Organized by local students primarily from the Central Bucks School District,March for Science,1,march; rally,0,0,0,0,1,1,http://www.theintell.com/news/local/march-for-science-draws-big-crowd-in-doylestown/article_9b211754-2605-11e7-8793-5f8d95ecf23f.html,,,,
Duluth,Canal Park,MN,US,2017-04-22,more than 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.wdio.com/news/march-for-science-duluth-earth-day/4461561/,,,,
East Lyme,Niantic Bay Boardwalk; Hole-in-the-Wall beach to Cini Park,CT,US,2017-04-22,na,500,725,1000,550,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.theday.com/local/20170422/science-not-silence-hundreds-join-east-lyme-march-on-earth-day,,,,
East Meadow,East Meadow Farm,NY,US,2017-04-22,,,,,,,Cornell Cooperative Extension of Nassau County,March for Science,1,march,,,,,1,1,http://ccenassau.org/events/2017/04/22/science-march-rally-earth-day-celebration,,,,
East Stroudsburg,,PA,US,2017-04-22,,,,,,,general protestors,March for Science,1,,,,,,1,1,http://www.mcall.com/news/local/bethlehem/mc-bethlehem-march-for-science-20170422-story.html,,,,
Eau Claire,March from UW - Eau Claire Campus to Phoenix Park,WI,US,2017-04-22,nearly 350,350,350,350,385,315,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.weau.com/content/news/Hundreds-march-for-science-in-Eau-Claire-420164983.html,,,,
El Paso,Mundy Park,TX,US,2017-04-22,,,,,,,general protesters,March for Science,1,march; rally,0,0,0,0,1,1,https://www.facebook.com/MarchForScienceEP/,,,,
Elizabeth City,611 E Main St; Elizabeth City State University,NC,Us,2017-04-22,,,,,,,general protestors,March for Science,1,,,,,,1,1,https://www.facebook.com/events/418964238458127/,,,,
Ellensburg,,WA,US,2017-04-22,more than 150,150,150,150,165,135,Kittitas County Democrats,March for Science,1,rally,0,0,0,0,1,1,http://nwpr.org/post/ellensburg-democrats-draw-crowd-earth-day-science-march,,,,
Erie,Perry Square,PA,US,2017-04-22,at least 600,600,600,600,660,540,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.goerie.com/news/20170422/erie-joins-cities-around-nation-in-march-for-science,,,,
Estes Park,Stanley Park,CO,US,2017-04-22,,,,,,,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.eptrail.com/ci_30945842/estes-park-residents-gather-celebrate-science,,,,
Eugene,"University of Oregon in Eugene, then marched to the federal ­courthouse",OR,US,2017-04-22,estimated 1500 to 2000,1500,1725,2000,1650,1800,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://registerguard.com/rg/news/local/35510356-75/eugene-joins-other-cities-around-the-world-in-march-for-science.html.csp,,,,
Evansville,First Presbyterian Church on 2nd St; march to the Four Freedoms Monument on Evansville's Riverfront,IN,US,2017-04-22,more than 550,550,550,550,605,495,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,https://www.facebook.com/events/1732204897109292/?,,,,
Fairbanks,Lathrop High School,AK,US,2017-04-22,more than 1000,1000,1000,1000,1100,900,general protestors,"March for Climate, Jobs and Justice",1,march,,,,,0,1,http://www.newsminer.com/news/local_news/more-than-gather-for-fairbanks-march-for-science/article_c086a41c-27c4-11e7-baef-e3ae8827382f.html,,,,
Fairbanks,Ryan Middle School,AK,US,2017-04-22,more than 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.newsminer.com/news/local_news/more-than-gather-for-fairbanks-march-for-science/article_c086a41c-27c4-11e7-baef-e3ae8827382f.html,,,,
Falmouth,Falmouth Village Green,MA,US,2017-04-22,,,,,,,Engage Falmouth,March for Science,1,rally,0,0,0,0,1,1,http://www.capenews.net/falmouth/news/science-takes-to-the-streets/article_5384d649-8e8a-5a80-8e4d-b9f970692de6.html,,,,
Fayetteville,down Dickson Street and into a University of Arkansas auditorium,AR,US,2017-04-22,na,500,500,500,550,450,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.arkansasonline.com/news/2017/apr/23/hundreds-march-in-fayetteville-to-suppo/,,,,
Findlay,Hancock County Courthouse,OH,US,2017-04-22,,,,,,,Findlay Civil Rights Alliance,March for Science,1,march,,,,,1,1,https://www.facebook.com/events/1852572408336573/,,,,
Flagstaff,,AZ,US,2017-04-22,about 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/arizona-science/2017/04/21/march-science-events-expected-draw-thousands-arizona/100749772/,http://azdailysun.com/news/local/govt-and-politics/flagstaff-marches-for-science/article_ae730969-9f33-5852-b24f-8bff6f10d46f.html,,,
Fort Bragg,Bainbridge Park,CA,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.advocate-news.com/general-news/20170427/march-for-science,,,,
Fort Lauderdale,Esplanade Park,FL,US,2017-04-22,,,,,,,Rise Up!; Indivisible South Florida; the Women's March of Florida,March for Science,1,march,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/article145930464.html,https://www.facebook.com/events/396716634019007/,,,
Fort Myers,Centennial Park; downtown,FL,US,2017-04-22,,,,,,,general protesting,March for Science,1,march,0,0,0,0,1,1,http://www.news-press.com/videos/news/local/fort-myers/2017/04/22/march-science/100792374/,,,,
