City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Hartford,231 Capitol Ave,CT,US,2018-04-04,FB: 64,64,,64,,,"Moral Monday CT and DUE Justice Coalition- Democracy, Unity and Equality Connecticut",50th Anniversary of Dr. King’s Death,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1945895419073907/,,,,,
Hartford,State Capitol,CT,US,2018-04-04,,,,,,,general protestors,Protesting sexual violence,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/2112527668774479/,,,,,
Henderson,Second St.,KY,US,2018-04-04,NA,75,,1000,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.courierpress.com/story/news/2018/04/04/henderson-teachers-join-statewide-protest-pension-budget-bills/479605002/,,,,,
Hickory,The Children's Advocay and Protection Center,NC,US,2018-04-04,,,,,,,general protestors,Protetsing child abuse,0,protest,0,0,0,0,1,1,http://www.hickoryrecord.com/news/local/vigil-held-to-remember-children-lost-to-abuse-or-neglect/article_196087b1-008f-5660-a5b2-9e5c1364996d.html,,,,,
Kent,School District HQ,WA,US,2018-04-04,more than a dozen,12,,12,,,general protestors,Protesting state education funding,0,protest,0,0,0,0,1,1,http://q13fox.com/2018/04/04/parents-students-and-teachers-rally-over-possible-staff-cuts-at-kent-schools/,,,,,
Las Vegas,MLK Jr. statue,NV,US,2018-04-04,From photo: dozens,24,,24,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.reviewjournal.com/local/north-las-vegas/50-years-later-kings-message-alive-at-north-las-vegas-vigil/,,,,,
Lick Creek,East Ridge High School,KY,US,2018-04-04,,,,,,,Students,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.wymt.com/content/news/Students-protest-in-support-of-teachers-as-they-head-back-to-class-478802063.html,,,,,
Little Rock,Little Rock Central High School National Historic Site,AR,US,2018-04-04,FB: 7,7,,7,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/567768960264598/,,,,,
Los Angeles,Federal Ave.,CA,US,2018-04-04,,,,,,,general protestors,Protesting racial and gender inequality in the UC system,0,protest,0,0,0,0,0,1,http://abc7.com/society/group-marches-in-west-la-to-protest-inequality-within-uc-system/3302185/,,,,,
Los Angeles,Federal Immigration Building,CA,US,2018-04-04,FB: 27,27,,27,,,Central American Resource Center,Protesting Trump's decision to end TPS,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/866871206819168/,,,,,
Los Angeles,Hall of Justice,CA,US,2018-04-04,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
Los Angeles,Westwood,CA,US,2018-04-04,,,,,,,"American Federation of State, County and Municipal Employees and UCLA students",Protesting widening wage gap at UCLA,0,protest,18,0,0,0,0,1,http://dailybruin.com/2018/04/11/video-afscme-protests-in-westwood/,,,,,
McAlester,Spirit AeroSystems,OK,US,2018-04-04,,,,,,,general protestors,Rallying for better educational funding,0,rally,0,0,0,0,1,1,http://www.tulsaworld.com/homepagelatest/gov-fallin-greeted-by-education-funding-protesters-at-business-event/article_450b32ce-a729-5667-bb2e-d5a47718cc27.html,,,,,
Memphis,Through downtown,TN,US,2018-04-04,estimated 8000-10000,8000,,10000,,,general protestors,March for racial equality,0,march,0,0,0,0,1,1,https://www.commercialappeal.com/story/news/local/2018/04/04/mlk-50-am-2018-march-highlights-ongoing-struggle/486872002/,,,,,
Miami,,FL,US,2018-04-04,,,,,,,Dream Defenders,"in remembrance of Martin Luther King Jr., against racism, for social justice",1,caravan,,,,,1,1,https://www.instagram.com/p/Bg7BsByhJiz/,,,,,
Milpitas,,CA,US,2018-04-04,FB: 17,17,,17,,,Milpitas Recreation Services,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/2013372045583806/,,,,,
New York,37th Ave.,NY,US,2018-04-04,more than 100,100,,100,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,0,1,https://www.facebook.com/events/234440757122472/,https://www.reviewjournal.com/local/north-las-vegas/50-years-later-kings-message-alive-at-north-las-vegas-vigil/,,,,
