CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Boston,in front of the State House,,MA,US,2019-11-06,,,,,,,convenience store owners,against proposed ban on menthol cigarettes,0,protest,0,0,0,0,0,1,https://www.patriotledger.com/news/20191104/stores-to-close-in-protest-of-sen-keenans-proposed-menthol-ban,,,,
Chapel Hill,UNC,Orange,NC,US,2019-11-06,about 2 dozen,24,,24,,,students and faculty,rotest UNC report about police conduct,0,protest,0,0,0,0,1,1,https://www.newsobserver.com/news/local/education/article237068524.html,,,saw report as too forgiving of police,
Hamden,,New Haven,CT,US,2019-11-06,,,,,,,general protesters,for the removal of Office Eaton for his role in firing upon two people in their car,0,protest,0,0,0,0,1,1,https://www.ctinsider.com/news/nhregister/article/Fire-the-officer-protest-reaches-Hamden-14815737.php,,,,
Little Rock,Central High School,Pulaski,AR,US,2019-11-06,,,,,,,students and teachers,raise awareness regarding issues with the public school sustem,0,rally,0,0,0,0,1,1,https://www.kark.com/news/local-news/lrsd-supporters-hold-walk-in-protest/,,,,
Little Rock,Pulaski Heights Elementary,Pulaski,AR,US,2019-11-06,,,,,,,students and teachers,raise awareness regarding issues with the public school sustem,0,rally,0,0,0,0,0,1,https://www.kark.com/news/local-news/lrsd-supporters-hold-walk-in-protest/,,,,
Little Rock,,Pulaski,AR,US,2019-11-06,,,,,,,general protesters,in support of Little Rock School District and Teachers Association ,0,walk in ,0,0,0,0,1,1,https://www.kark.com/news/local-news/lrsd-supporters-hold-walk-in-protest/,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-11-06,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Los Angeles,,Los Angeles,CA,US,2019-11-06,,,,,,,general protesters,to improve working conditions and wages for gig economy workers; against Uber,0,protest,0,0,0,0,1,1,https://www.almanacnews.com/news/2019/11/06/atherton-uber-drivers-other-contract-workers-protest-outside-of-uber-investors-home,,,,
Monroe,Monroe Civic Center,Ouachita Parish,LA,US,2019-11-06,thousands,2000,,2000,,,general protesters,"for Eddie Rispone for governor, for President Trump",2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/trump-rally-monroe-louisiana-2020-campaign-monroe-civic-center-wednesday-6-nov-2019/,https://www.thenewsstar.com/story/news/local/2019/11/06/donald-trump-visits-louisiana-thousands-gather-monroe-welcome-president/4156764002/,https://www.pbs.org/newshour/politics/watch-live-trump-to-rally-in-louisiana-in-bid-to-unseat-democratic-governor,feat. President Trump,
Monroe,Monroe Civic Center,Ouachita Parish,LA,US,2019-11-06,,,,,,,NAACP Monrooe/Ouachita Parish Branch,against President Donald Trump,1,counter-protest,0,0,0,0,0,1,https://www.thenewsstar.com/story/news/local/2019/11/06/donald-trump-visits-louisiana-thousands-gather-monroe-welcome-president/4156764002/,,,,
