CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Racine,,WV,US,2018-09-03,more than 100,100,,100,,,union workers,Labor Day rally,0,rally,0,0,0,0,1,1,https://wvpress.org/breaking-news/at-umws-labor-day-rally-west-virginia-candidates-look-to-november/,,,,
Saint Louis,downtown,MO,US,2018-09-03,,,,,,,general protestors,free labor march,0,march,0,0,0,0,1,1,https://www.kmov.com/news/free-labor-march-held-in-downtown-st-louis/article_d6d510ba-afbc-11e8-ab0f-bb22d4471409.html,,,,
San Diego,Westin San Diego Gaslamp Quarter,CA,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,protest,,,,,1,1,http://www.cbs8.com/story/39016160/workers-from-marriott-hotels-stage-nation-wide-protest-on-labor-day,,,,
San Francisco,Union Square,CA,US,2018-09-03,about 900,900,,1000,,,Marriott hotel workers,low pay,0,protest,75,0,0,0,1,1,https://business.financialpost.com/pmn/business-pmn/75-hotel-workers-arrested-at-labor-day-protest-in-california,https://www.theepochtimes.com/marriott-issues-statement-after-75-arrested-at-labor-day-protest-in-sf_2641991.html,,,
San Jose,,CA,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,protest,,,,,1,1,https://eu.usatoday.com/story/travel/hotels/2018/06/26/marriott-employees-picket-hotels-eight-u-s-cities-wednesday/735790002/,,,,
Santa Paula,Main Street,CA,US,2018-09-03,,,,,,,general paraders,"""Honor the Workforce"" Labor Day parade",0,parade,0,0,0,0,1,1,https://eu.vcstar.com/story/news/local/2018/09/03/santa-paula-honors-its-labor-force-agricultural-roots/1114281002/,,,,
Seattle,Westin Seattle,WA,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,protest,21,0,0,0,1,1,https://www.seattletimes.com/business/demonstrators-supporting-hotel-workers-gather-outside-westin-seattle-21-arrested/,,,,
South Buffalo,Abbott Road,NY,US,2018-09-03,hundreds,200,,200,,,union workers,AFL-CIO Labor Day parade,0,parade,0,0,0,0,1,1,https://buffalonews.com/2018/09/03/wny-union-members-celebrate-organized-labor-at-south-buffalo-parade/,,,,
Springfield,MSU to Fassnight Park,MO,US,2018-09-03,,,,,,,union workers,Labor Day parade,0,parade,0,0,0,0,1,1,https://www.ky3.com/content/news/Local-union-celebrates-Labor-Day-with-parade-festivities--492330241.html,,,,
Terre Haute,private home on Ohio Blvd,IN,US,2018-09-03,about 25,25,,25,,,general protestors,better birth outcomes,0,rally,0,0,0,0,1,1,http://www.tribstar.com/news/local_news/women-seeking-better-birth-outcomes-gather-at-rally/article_2f039ae2-18e3-5506-8f1c-171df11ab0af.html,,,,
Three Forks,Imerys Talc Mill,MT,US,2018-09-03,about 200,200,,200,,,union workers,against shutout,0,picket,0,0,0,0,1,1,https://www.bozemandailychronicle.com/news/standing-with-montana-workers-tester-joins-picket-line-for-labor/article_e7987e39-bcf1-56d6-880b-5b78cb0afdac.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=bozchron,https://eu.greatfallstribune.com/story/news/2018/09/04/labor-day-rally-held-support-locked-out-montana-workers/1192648002/,,,
Tuscumbia,Spring Park,AL,US,2018-09-03,,,,,,,Shoals Labor Council,Labor Day rally,0,parade; rally,0,0,0,0,1,1,https://alabama.travel/upcoming-events/shoals-area-labor-day-festival,,,,
White River Junction,,VT,US,2018-09-03,,,,,,,general protestors,Labor Day rally,0,rally,0,0,0,0,1,1,https://www.mychamplainvalley.com/news/local-news/bernie-sanders-slams-amazon-ceo-jeff-bezos-at-labor-day-rally/1415991395,,,,
Wilmington,Banning Park,CA,US,2018-09-03,over 6000,6000,,6000,,,Los Angeles/Long Beach Labor Day Parade,Labor Day rally,0,parade; rally,0,0,0,0,1,1,https://www.dailybreeze.com/2018/09/03/labor-groups-show-off-their-solidarity-at-annual-labor-day-march-in-wilmington/,http://www.fightbacknews.org/2018/9/5/labor-day-march-and-rally-la,,,
Ames,"2400 Oakwood to Boone County Fairgrounds, Boone",IA,US,2018-09-04,,,,,,,Rise for Climate; First Nation Farmer Climate Unity March,Raising awareness about lawsuit on behalf of land owners who had property taken in order to build the Dakota Access Pipeline,1,march; rally,,,,,1,1,http://boldiowa.com/2018-first-nation-farmer-climate-unity-march/,,,,
Baltimore,Dorothy I. Height Elementary School,MD,US,2018-09-04,,6,,6,,,Residents Against the Tunnels,block digging of diesel vent for tunnel outside of school,0,protest,0,0,0,0,1,1,https://www.msn.com/en-us/news/msn/protesters-rally-against-proposed-baltimore-and-potomac-tunnel-project-diesel-vent-outside-elementary-school/ar-BBMVQpt,https://twitter.com/EcoInternet3/status/1037168191129059328,photo headcount,,
Chico,Council Chambers,CA,US,2018-09-04,NA,221,,221,,,general protestors,protesting bill that would negatively affect homeless population,1,protest,0,0,0,0,1,1,https://www.chicoer.com/2018/09/04/council-votes-in-chambers-cleared-after-protest/,,,,
Del City,outside city council meeting,OK,US,2018-09-04,,,,,,,general protestors,protesting new police chief; anti-racism,1,protest,0,0,0,0,1,1,https://okcfox.com/news/local/groups-protest-appointment-of-del-city-police-chief,,,,
Portland,downtown,ME,US,2018-09-04,,,,,,,general protestors,support for Prop 1 on long-term health care rights,0,rally,0,0,0,0,1,1,https://wgme.com/news/local/supporters-of-question-1-rally-in-portland,,,,
Ridgewood,,NJ,US,2018-09-04,,,,,,,Ridgewood teachers’ union ,protesting working without a settled contract,1,protest; walkin,,,,,1,1,https://www.northjersey.com/story/news/bergen/ridgewood/2018/08/27/ridgewood-teachers-protest-starting-school-year-without-contract/1107508002/,,,,
Stanwood ,Downtown ,WA,US,2018-09-04,,,,,,,Stanwood Teachers ,protesting their employment contract,1,protest; march,0,0,0,0,1,1,https://www.instagram.com/p/Bn3-X0MH30I/,,,,
Washington,atrium of the Hart Senate Office Building,DC,US,2018-09-04,about 15,15,,15,,,"Women's March, UltraViolet, and others",protesting confirmation hearings of Supreme Court Justice nominee Brett Kavanaugh,1,silent protest,0,0,0,0,0,1,https://www.cnn.com/2018/09/05/politics/kavanaugh-senate-hearing-handmaids-tale-protesters/index.html,https://6abc.com/the-handmaids-tale-protesters-target-kavanaugh-/4144384/,,"""The Handmaid's Tale"" costumes",
