CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Paterson ,outside of Paterson City Hall,Passaic,NJ,US,2019-01-08,about 30,30,,30,,,justice for Lowery protestors,protesting police who denied a dying man water,0,protest,0,police maced protestors,0,0,1,1,https://pix11.com/2019/01/08/investigation-underway-into-incident-involving-paterson-man-who-died-after-begging-police-for-water/,https://www.northjersey.com/story/news/passaic/paterson/2019/01/09/live-stream-paterson-residents-protest-jameek-lowerys-death/2529543002/,,,,,
Philadelphia,at Independence National Historical Park,Philadelphia,PA,US,2019-01-08,about 200,200,,200,,,Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,http://www.philly.com/news/government-shutdown-worker-protest-afge-nteu-philadelphia-20190107.html,http://www.philly.com/news/federal-shutdown-rally-philadelphia-trump-20190108.html,https://www.inquirer.com/news/federal-shutdown-rally-philadelphia-trump-20190108.html,https://www.phillyvoice.com/federal-employees-protest-government-shutdown-philly-tuesday/,,,
Raleigh,Federal Building,Wake,NC,US,2019-01-08,about 50,50,,50,,,general protesters,anti-Trump,1,protest,0,0,0,0,1,1,https://www.heraldsun.com/news/politics-government/article224078615.html,,,,,,
Sacramento ,Sacramento International Airport ,Sacramento,CA,US,2019-01-08,,,,,,,TSA workers ,protesting the goverement shut down ,1,protest,0,0,0,0,1,1,https://www.sacbee.com/news/politics-government/capitol-alert/article224591195.html,,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",Ramsey,MN,US,2019-01-08,,,,,,,Interfaith Coalition on Immigration; Minnesota Caravan Solidarity,"in solidarity with migrant detainees, against inhumane detention practices",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/2018/12/29/january-2018-vigil-2/,,second Tuesday of every month,,,
St. Petersburg,McDonald’s at 4595 34th St. S,Pinellas,FL,US,2019-01-08,around 30,30,,30,,,"McDonald's workers, Fight for $15 wage activists","wanting McDonald’s to establish store security protocols, and provide protection and a voice on the job for its predominantly Black and Latinx women workforce",1,"strike, protest",0,0,0,0,1,1,http://www.tampabay.com/business/in-aftermath-of-viral-mcdonalds-fight-workers-plan-strike-to-demand-training-protection-from-violence-20190107/,https://www.wtsp.com/article/news/crime/protesters-rally-around-mcdonalds-worker-who-was-grabbed-by-customer-on-new-years-eve/67-b251e5b6-ce9e-46ad-9764-2455c38aba29,,,,,
Washington,outside White House,DC,DC,US,2019-01-08,,,,,,,general protestors ,anti-Trump,1,protest,,,,,1,1,https://twitter.com/Yamiche/status/1082809366493958144,,,,,,
Hartford,outside the inauguration,Hartford,CT,US,2019-01-09,,,,,,,general protestors ,rally for climate change,0,rally,0,0,0,0,1,1,https://www.meetup.com/350CT-org/events/257605189/,https://www.wtnh.com/news/politics/toll-protesters-out-in-hartford-on-inauguration-day/1694268218,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-01-09,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Washington,outside Supreme Court,DC,DC,US,2019-01-09,count pic,17,,17,,,general protestors ,protest US support of Saudi Arabia's war in Yemen; protest federal detention center at Guantanamo Bay in Cuba,1,protest,5,0,0,0,1,1,https://buffalonews.com/2019/01/10/buffalo-activist-arrested-in-supreme-court-protest/,,,civil dis,,,
