CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Denver,,Denver,CO,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32556468/crowd-rallies-boulder-release-mueller-report,,21031,
Fort Collins,Senator Cory Gardner's field office,Larimer,CO,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32556468/crowd-rallies-boulder-release-mueller-report,,21033,
Glassboro,Rowan University,Gloucester,NJ,US,2019-04-04,NA,5,,5,,,Key of David Christian Center,Anti-LGBTQ; Against women's rights,2,protest,2,0,0,0,1,1,https://www.pressofatlanticcity.com/news/rowan-students-protest-against-anti-gay-anti-women-demonstration/article_c7fc6847-a054-5371-b88f-528c388caeec.html,https://nj1015.com/rowan-students-counter-campus-anti-gay-protest/,21002,
Glassboro,Rowan University,Gloucester,NJ,US,2019-04-04,about 400,400,,400,,,Rowan University students,Civil Rights; Pro-LGBTQ; For women's rights; Counter protest,1,protest,2,0,0,0,0,1,https://www.pressofatlanticcity.com/news/rowan-students-protest-against-anti-gay-anti-women-demonstration/article_c7fc6847-a054-5371-b88f-528c388caeec.html,,21003,
Hampton,East Mercury Boulevard; Hope Street,York,VA,US,2019-04-04,,,,,,,NAACP,"Civil Rights; For racial justice; Martin Luther King, Jr.",0,march ,0,0,0,0,1,1,https://www.wavy.com/news/local-news/hampton/hampton-naacp-holds-march-for-anniversary-of-mlk-assassination/1900293756,,21014,
Homer,WKFL Park,Kenai Penninsula Borough,AK,US,2019-04-04,some 40,40,,40,,,general protestors,Executive; For greater transparency,1,rally,0,0,0,0,1,1,http://www.homertribune.com/article/1915homer_residents_call_for_release_of_mueller,,21176,
Juneau,,Juneau,AK,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.homertribune.com/article/1915homer_residents_call_for_release_of_mueller,,21179,
Lexington,downtown,Fayette,KY,US,2019-04-04,,,,,,,Lexington sanitation employees,Collective Bargaining; For better compensation,0,rally,0,0,0,0,1,1,https://www.kentucky.com/news/local/counties/fayette-county/article228373759.html,,21058,
Lima,Town Square,Allen,OH,US,2019-04-04,roughly 30,30,,30,,,general protestors,Executive; For greater transparency,1,rally,0,0,0,0,1,1,https://www.limaohio.com/news/349395/lima-rally-calls-for-mueller-report,,21015,
Lincoln,Nebraska Union Plaza; State Capitol,Lancaster,NE,US,2019-04-04,NA,200,,200,,,PREVENT,Against sexual/domestic violence; Other,0,march,0,0,0,0,1,1,http://www.dailynebraskan.com/news/fourth-annual-end-rape-on-campus-march-to-be-held/article_f9bcf49a-55a1-11e9-8b66-9bbca9184fbc.html,,20991,
Longmont,,Boulder,CO,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32556468/crowd-rallies-boulder-release-mueller-report,,21030,
Loveland,,Larimer,CO,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32556468/crowd-rallies-boulder-release-mueller-report,,21032,
Napa,,Napa,CA,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.ktvu.com/news/activists-hold-releasethereport-rallies-around-the-bay-area-in-hopes-of-seeing-full-mueller-report,,21024,
New York,Times Square,New York,NY,US,2019-04-04,about 300,300,,300,,,MoveOn,Executive; For greater transparency,1,rally,0,0,0,0,1,1,https://www.mercurynews.com/2019/04/04/hundreds-rally-near-white-house-to-demand-mueller-report/,,21011,
Oakland,,Alameda,CA,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.ktvu.com/news/activists-hold-releasethereport-rallies-around-the-bay-area-in-hopes-of-seeing-full-mueller-report,,21022,
Oneonta,Muller Plaza,Otsego,NY,US,2019-04-04,around 15,15,,15,,,Indivisible Oneonta; MoveOn,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.thedailystar.com/news/local_news/muller-demonstrators-demand-mueller-report/article_a6e2a370-e620-5e97-8517-23eae7466ecc.html,,21019,
Palo Alto,Town & Country Village Shopping Center,Santa Clara,CA,US,2019-04-04,about a hundred,100,,100,,,MoveOn,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.stanforddaily.com/2019/04/05/palo-alto-protesters-demand-justice-department-publish-mueller-report/,,21027,
Pittsfield,Park Square,Berkshire,MA,US,2019-04-04,almost a hundred,100,,100,,,Berkshire Democratic Brigades; Four Freedoms Coalition; Greylock Together; Indivisible Plattsfield,Executive; For greater transparency,1,rally,0,0,0,0,1,1,"https://www.berkshireeagle.com/stories/pittsfield-protest-planned-to-spur-release-of-mueller-report-findings,569364",https://theberkshireedge.com/activists-rally-demand-that-officials-releasethereport-from-mueller/,20984,
Pueblo,Minnequa Elementary School,Pueblo,CO,US,2019-04-04,more than 30,30,,30,,,general protestors,Education; Against closure/relocation,0,rally,0,0,0,0,1,1,https://www.chieftain.com/news/20190404/supporters-rally-to-save-pueblos-minnequa-school,,21046,
Salt Lake City,Bureau of Land Management building,Salt Lake,UT,US,2019-04-04,,,,,,,Salt River Wild Horse Management Group; American Wild Horse Campaign,Other; For animal welfare,0,rally,0,0,0,0,1,1,https://fox13now.com/2019/04/05/activists-rally-to-protect-wild-onaqui-horse-herd/,,21064,
San Francisco,,San Francisco,CA,US,2019-04-04,,,,,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,http://www.ktvu.com/news/activists-hold-releasethereport-rallies-around-the-bay-area-in-hopes-of-seeing-full-mueller-report,,21023,
San Rafael,City Plaza,Marin,CA,US,2019-04-04,a few hundred,300,,300,,,general protestors,Executive; For greater transparency,1,rally,0,0,0,0,1,1,http://www.ktvu.com/news/activists-hold-releasethereport-rallies-around-the-bay-area-in-hopes-of-seeing-full-mueller-report,,21021,
Sarasota,downtown,Sarasota,FL,US,2019-04-04,about 150,150,,150,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.heraldtribune.com/news/20190404/sarasota-protesters-call-for-release-of-full-mueller-report,,21010,
