CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Seattle,King County Courthouse,WA,US,2018-05-02,,,,,,,general protestors,Rallying for accessible subways,0,rally,0,0,0,0,1,1,https://www.kiro7.com/news/local/disabled-riders-rally-for-better-services-in-metros-access-program/742792414,,,,
St. Paul,State Capitol,MN,US,2018-05-02,hundreds,200,,200,,,general protestors,Rallying for climate change action,1,rally,0,0,0,0,1,1,https://www.grandforksherald.com/news/government-and-politics/4440262-one-minnesota-water-issue-mellows-rally-begins,,,,
Umatilla,Umatilla High School,FL,US,2018-05-02,,,,,,,Students,Protesting firing of teacher,0,protest,0,0,0,0,1,1,https://www.clickorlando.com/news/students-rally-after-lake-county-teachers-contract-not-renewed,,,,
Arlington,Social Security office,VA,US,2018-05-03,some 60-70,60,,70,,,general protestors,Protesting Trump's planned cuts to social security,1,protest,0,0,0,0,1,1,https://www.govexec.com/management/2018/05/social-security-plan-shutter-field-office-prompts-street-protest/147964/,,,,
Asheville,VA Medical Center,NC,US,2018-05-03,,8,,8,,,Veterans,Rallying for VA,0,rally,0,0,0,0,1,1,http://wlos.com/news/local/area-veterans-hold-rally-outside-va-medical-center,,,Count estimated from photos and video clip in article,
Berkeley,UC Berkeley Campus,CA,US,2018-05-03,about 100,100,,100,,,students,Protesting raising costs of living,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2018/05/03/getting-unbearable-uc-workers-protest-increasing-cost-living-call-rent-freeze/,https://www.facebook.com/events/579980795709524/,,,
Cherry Hill,Camden Catholic,NJ,US,2018-05-03,around 20,20,,20,,,students,Protesting firing of coach,0,protest,0,0,0,0,1,1,https://www.courierpostonline.com/story/sports/high-school/football/2018/05/04/camden-catholic-high-school-protest-football-coach-nick-strom-too-many-black-players/579732002/,,,,
Glens Falls,Rep. Stefanik's office,NY,US,2018-05-03,,,,,,,Fiscal Policy Institute,Protesting bill that would cut SNAP benefits,1,protest,0,0,0,0,1,1,http://www.pressrepublican.com/news/local_news/protest-fights-for-snap-benefits/article_1c80d2b4-bc64-502f-a251-d1b4a58f81e2.html,,,,
Jamaica Plain,Centre St.,MA,US,2018-05-03,FB: 12,12,,12,,,general protestors,Rallying for racial equality,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/199587127493160/,,,,
Kenosha,Outside DA's office,WI,US,2018-05-03,,25,,25,,,general protestors,Protesting police brutality,0,protest,0,0,0,0,1,1,http://www.kenoshanews.com/news/local/bell-supporters-protest-as-cush-honors-da-mayor/article_778e5744-8f59-5d04-a0fe-0515db284eeb.html,,,Count estimed from video clip in article,
Lock Haven,Lock Haven University,PA,US,2018-05-03,FB: 9,9,,9,,,PA Promise- Higher Ed,Rallying for affordable higher education,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1659479080832834/,,,,
Mequon,Outside WEC Energy Group's annual shareholders meeting,WI,US,2018-05-03,around 20,20,,20,,,general protestors,Protesting over health concerns caused by coal dust,0,protest,0,0,0,0,1,1,http://www.cbs58.com/news/residents-hold-demonstration-on-coal-dust-ahead-of-wec-energy-group-meeting,,,,
Middletown,Main St.,CT,US,2018-05-03,dozens,24,,24,,,general protestors,Protesting cuts to public transportation,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/468116470288261/,https://www.middletownpress.com/middletown/article/Dozens-attend-Middletown-protest-rally-over-12888936.php#photo-15504896,,,
Nashville,Legislative Plaza,TN,US,2018-05-03,FB: 384,384,,384,,,Immigrant and Refugee Rights Coalition,Protesting mass deportations,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/207819176487715/,,,,
New York,Manhattan Federal Building,NY,US,2018-05-03,About 60,60,,60,,,New Sanctuary Coalition of NYC,Rallying for immigrants,1,rally,0,0,0,0,1,1,http://www.journalnow.com/news/local/kalvin-michael-smith-participates-in-protest-over-police-body-camera/article_5fe88505-dc93-5018-add8-aa4e7de4d1a5.html,,,,
Sacramento,City Hall,CA,US,2018-05-03,dozens,42,,42,,,Cops,Labor protest,0,protest,0,0,0,0,1,1,http://fox40.com/2018/05/03/west-sacramento-police-officers-protest-outside-state-of-the-city-address/; http://www.kcra.com/article/officers-picket-during-west-sacramento-mayors-speech/20145954,,,Count estmated from video clip in article,
Saint George,Intersection of University Avenue and 100 South,UT,US,2018-05-03,,,,,,,Students;Professors,Protesting the firing of professors,0,protest,0,0,0,0,1,1,https://www.stgeorgeutah.com/news/archive/2018/05/04/jcw-morale-is-at-an-all-time-low-protesters-at-dixie-state-university-ask-for-answers-in-wake-of-professor-firings#.Wx34DEgvxPY,,,,
Troutdale,Reynolds High School,OR,US,2018-05-03,count pic,31,,31,,,teachers,Protesting school district budget cuts,0,protest,0,0,0,0,1,1,https://pamplinmedia.com/go/42-news/394773-287577-educators-protest-reynolds-budget-cuts,https://iphone.facebook.com/ReynoldsEducation/photos/a.336378803077907.71249.246360382079750/1804015762980863/?type=3,,Count estimated based on photos on facebook page from event,
West Valley City,Police department,UT,US,2018-05-03,more than 20,20,,20,,,general protestors,Protesting police brutality,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/5/4/utah-protesters-take-over-police-station-lobby-fight-teamster-murdered-cops,,,,
Auburn,National Military History Center,IN,US,2018-05-03,,,,,,,prayer gathering,Praying for unity in American in observance of National Day of Prayer,0,rally,0,0,0,0,1,1,http://www.kpcnews.com/features/religion/kpcnews/article_8753cfe5-d224-5d1a-9bb0-bec02bab4ac5.html,,,,
Ventura,Ventura promenade,CA,US,2018-05-03,about 100,100,,100,,,general protestors,Rallying against lack of attention to vagrant crime,0,rally,0,0,0,0,1,1,http://abc7.com/ventura-residents-hold-rally-after-fathers-fatal-stabbing/3426695/,,,,
Winston-Salem,MLK Jr. Dr.,NC,US,2018-05-03,NA,15,,15,,,general protestors,Protesting police brutality,0,protest,0,0,0,0,1,1,http://www.journalnow.com/news/local/kalvin-michael-smith-participates-in-protest-over-police-body-camera/article_5fe88505-dc93-5018-add8-aa4e7de4d1a5.html,,,,
Dallas,Hutchinson Convention Center,TX,US,2018-05-04,FB: 166,166,,166,,,general protestors,Protesting NRA convention,1,protest,0,0,0,0,1,1,http://www.star-telegram.com/latest-news/article210471364.html,https://www.facebook.com/events/1638324652871237/,http://www.star-telegram.com/news/local/community/dallas/article210471364.html,high estimate count from video,
Dallas,Kay Bailey Hutchison Convention Center,TX,US,2018-05-04,na,3,,4,,,PETA,Protesting the NRA and use of guns to kill humans and animals,1,protest,0,0,0,0,1,1,https://www.peta.org/media/news-releases/nra-convention-to-draw-peta-protest/,http://www.star-telegram.com/news/local/community/dallas/article210515969.html,,,
Dallas,Hutchinson Convention Center,TX,US,2018-05-04,na,1,,1,,,general protestor,Protesting the avaliablity of AR-15s for civilians,1,protest,0,0,0,0,0,1,http://www.star-telegram.com/news/local/community/dallas/article210471364.html,,,,
Gettysburg,Lincoln Square,PA,US,2018-05-04,FB: 6,6,,6,,,Gettysburg Rising,Rallying for immigrants,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/755208834678488/,,,,
Iowa City,University of Iowa; outside the home of University of Iowa President Bruce Harreld,IA,US,2018-05-04,A few dozen,36,,36,,,University of Iowa non-tenure track professors; Local 199 Chapter of Service Employees International Union,Protesting pay and treatment of Iowa university's non-tenure track professors; calling for faculty unionization,0,protest; march,0,0,0,0,1,1,https://www.press-citizen.com/story/news/education/university-of-iowa/2018/05/04/non-tenure-track-ui-faculty-salaries-protesting-better-pay-cathy-glasson/581227002/,,,,
